Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1380000,1.3670306,0.016261652,582.95,1.5017896118745404,1.5017896118745404,1.0
1390000,1.3666152,0.04312437,1102.3529411764705,0.39893355199860203,0.39893355199860203,1.0
1400000,1.3655927,0.07831853,647.1428571428571,1.2090110621616446,1.2090110621616446,1.0
1410000,1.3637738,0.09136451,817.4615384615385,2.4015336739830673,2.4015336739830673,1.0
1420000,1.361217,0.05089423,552.6,0.5664717215113342,0.5664717215113342,1.0
1430000,1.3605283,-0.021083701,279.0,2.900225479155779,2.900225479155779,1.0
1440000,1.3606714,0.056170486,713.0,1.7729708816965712,1.7729708816965712,1.0
1450000,1.3601558,0.044920553,510.09090909090907,0.8229834472416163,0.8229834472416163,1.0
1460000,1.3592985,0.08962734,375.0,2.1178936009140066,2.1178936009140066,1.0
1470000,1.3583664,-0.009247176,833.4,0.8074002169072628,0.8074002169072628,1.0
1480000,1.3580977,-0.074453555,450.72727272727275,1.9049702894873917,1.9049702894873917,1.0
1490000,1.3576515,-0.042796656,811.3888888888889,0.8830211888998747,0.8830211888998747,1.0
1500000,1.3566145,-0.056649473,492.42857142857144,1.710628805898263,1.710628805898263,1.0
1510000,1.3567591,-0.051580284,299.32,2.2174363211961463,2.2174363211961463,1.0
1520000,1.3579192,-0.065876335,583.8,1.4007275531237775,1.4007275531237775,1.0
1530000,1.3589618,-0.062263247,300.2,2.166107497610418,2.166107497610418,1.0
1540000,1.3586637,-0.07526994,722.0,1.201256484260739,1.201256484260739,1.0
1550000,1.3573967,0.1501165,997.2608695652174,0.5069348598304002,0.5069348598304002,1.0
1560000,1.3565787,0.14880542,558.0243902439024,1.6508380765051305,1.6508380765051305,1.0
1570000,1.355641,0.2827166,303.85714285714283,2.5720282585631744,2.5720282585631744,1.0
1580000,1.3557419,0.16274941,181.93333333333334,2.4222003692295404,2.4222003692295404,1.0
1590000,1.355826,0.14742267,303.0,2.205820252466947,2.205820252466947,1.0
1600000,1.3557578,0.14049272,411.41379310344826,2.120500190801726,2.120500190801726,1.0
1610000,1.3556689,0.16252616,633.8888888888889,1.7541335992088232,1.7541335992088232,1.0
1620000,1.3555632,0.08805456,493.8,1.705300311377505,1.705300311377505,1.0
1630000,1.355285,0.05376856,389.8,2.130760238703806,2.130760238703806,1.0
1640000,1.3549446,0.0805211,592.0434782608696,1.5476558341955144,1.5476558341955144,1.0
1650000,1.3546482,0.16251078,867.0,1.2484002340662603,1.2484002340662603,1.0
1660000,1.3542906,0.012804297,269.8,2.52066036965698,2.52066036965698,1.0
1670000,1.3537979,0.05269144,849.1111111111111,0.9331334588505948,0.9331334588505948,1.0
1680000,1.353566,-0.0010344924,192.6,2.6458804306574164,2.6458804306574164,1.0
1690000,1.3532859,0.024251755,1019.421052631579,0.33121591836128284,0.33121591836128284,1.0
