Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2760000,0.025359083,1.3368119,111.93333333333334,1.6026552171879929,1.6026552171879929,0.046376348,0.019944977,0.00016206843,1.0
2770000,0.033031166,1.3361444,183.3846153846154,1.0788750261660123,1.0788750261660123,0.045408364,0.024561105,0.00016153105,1.0
2780000,-0.025940238,1.3362067,153.21052631578948,1.306666721449568,1.306666721449568,0.03816301,0.023019208,0.00016100665,1.0
2790000,-0.059298366,1.3359582,304.2631578947368,0.736260893602815,0.736260893602815,None,None,None,1.0
2800000,-0.011463151,1.3351381,175.17777777777778,1.123675035731867,1.123675035731867,0.026562354,0.024095671,0.00016049345,1.0
2810000,0.116109386,1.334822,305.64814814814815,0.35060783074803503,0.35060783074803503,0.044206854,0.026547877,0.00015996529,1.0
2820000,0.12433615,1.3346266,493.05405405405406,0.01969559869789721,0.01969559869789721,0.05016632,0.02859669,0.00015943142,1.0
2830000,0.12509581,1.3340329,169.28571428571428,1.2529388329570124,1.2529388329570124,0.059264127,0.021095915,0.00015889147,1.0
2840000,0.07952385,1.3342532,288.6170212765957,0.5954545444877691,0.5954545444877691,0.053500958,0.019906057,0.00015835704,1.0
2850000,0.10182314,1.334722,206.70731707317074,1.1114102550931513,1.1114102550931513,0.051804565,0.025578491,0.00015782847,1.0
2860000,0.13503316,1.3342742,152.41666666666666,1.3078302464904792,1.3078302464904792,0.0539604,0.024124833,0.00015729987,1.0
2870000,-0.091331095,1.3335117,194.0909090909091,1.299500040889887,1.299500040889887,0.045655258,0.020575633,0.00015677368,1.0
2880000,0.070996486,1.3327849,226.4375,0.9283593803102121,0.9283593803102121,0.040619254,0.023007076,0.00015625768,1.0
2890000,0.08472162,1.332001,304.0810810810811,0.6126756363649022,0.6126756363649022,0.061789848,0.024823535,0.00015571906,1.0
2900000,-0.0146847945,1.3310847,217.1,1.0112571842070404,1.0112571842070404,0.03045878,0.024647959,0.00015519788,1.0
2910000,0.15740977,1.3302178,134.9322033898305,1.2934407093601648,1.2934407093601648,0.05080474,0.021066945,0.00015465266,1.0
2920000,0.0767647,1.3291093,357.51162790697674,1.189051329707488,1.189051329707488,0.05170048,0.017929325,0.00015413527,1.0
2930000,0.07298722,1.3278441,168.47368421052633,0.3525237727416901,0.3525237727416901,0.057515282,0.026102073,0.00015362125,1.0
2940000,0.08770338,1.3279201,326.54545454545456,0.5222448762696312,0.5222448762696312,0.033789497,0.023849076,0.00015310264,1.0
2950000,0.023574498,1.3274659,208.67441860465115,1.2045000591529778,1.2045000591529778,0.04580809,0.025317572,0.00015257265,1.0
2960000,0.040031105,1.3271686,223.0,1.0626296723020021,1.0626296723020021,0.03475028,0.023691924,0.00015205548,1.0
2970000,0.1411253,1.3279433,222.1851851851852,0.924510233935767,0.924510233935767,0.05318298,0.024484562,0.00015153868,1.0
2980000,0.08028584,1.3278277,268.89830508474574,0.6829074384877458,0.6829074384877458,0.042095937,0.022780435,0.00015101537,1.0
2990000,0.12698576,1.3281957,146.57142857142858,1.306263209786266,1.306263209786266,None,None,None,1.0
3000000,0.08920462,1.3278254,209.0,1.0366111690430746,1.0366111690430746,0.05606039,0.01886585,0.00015048562,1.0
3010000,0.08104685,1.3276122,222.27272727272728,0.9536875202150744,0.9536875202150744,0.06071513,0.02428624,0.00014997185,1.0
3020000,0.11199496,1.3284025,295.47058823529414,0.7478297768220147,0.7478297768220147,0.052586224,0.024685828,0.00014943113,1.0
3030000,0.06612588,1.3276654,167.6,0.8974583114807805,0.8974583114807805,0.057235446,0.028588755,0.00014891665,1.0
