Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
480000,-0.7900271,3.7337048,None,0.006976442,0.028621558,0.00027601662,None,None,1.0
490000,-0.75079715,3.6465569,None,None,None,None,None,None,1.0
500000,-0.8194285,3.553657,None,0.004679608,0.027230263,0.00027547902,None,None,1.0
510000,-0.75922346,3.4911087,None,0.003270822,0.030702394,0.00027492864,None,None,1.0
520000,-0.4668716,3.8305974,1999.0,0.00474585,0.017799426,0.00027440707,-10.610083521530033,-10.610083521530033,1.0
530000,-0.4182898,3.6023815,None,0.015858896,0.017863745,0.00027385665,None,None,1.0
540000,-0.42193788,3.547873,None,0.0067249215,0.028500756,0.00027330624,None,None,1.0
550000,-0.52194136,3.4815388,None,0.011279373,0.021868952,0.0002727686,None,None,1.0
560000,-0.50921863,3.415641,None,0.0057795644,0.02513575,0.0002722182,None,None,1.0
570000,-0.5768695,3.3251438,None,0.0040329127,0.024341399,0.00027166778,None,None,1.0
580000,-0.5614393,3.3165252,1999.0,0.012997652,0.025042355,0.00027113027,-6.009750267490745,-6.009750267490745,1.0
590000,-0.66130877,3.2954922,None,0.00664696,0.025980296,0.00027057662,None,None,1.0
600000,-0.6119035,3.2557318,None,0.009267903,0.024698058,0.0002700262,None,None,1.0
610000,-0.68181825,3.160858,None,None,None,None,None,None,1.0
620000,-0.69662637,3.2206388,None,0.0033154967,0.025525989,0.00026948858,None,None,1.0
630000,-0.67502993,3.10786,1739.0,0.0036154925,0.025210086,0.00026893817,-4.095500299707055,-4.095500299707055,1.0
640000,-0.6957165,3.2300527,1999.0,0.008600735,0.020878663,0.0002683854,-9.421214502703931,-9.421214502703931,1.0
650000,-0.22369687,3.5004022,None,0.00959706,0.025380712,0.00026785428,None,None,1.0
660000,-0.35859063,3.3800786,None,0.016870985,0.020852584,0.00026730387,None,None,1.0
670000,-0.4937016,3.3509023,None,0.013300802,0.02524779,0.00026677907,None,None,1.0
680000,-0.47925314,3.345645,None,0.003551679,0.02456163,0.00026621582,None,None,1.0
690000,-0.55219275,3.2814536,None,0.0031472032,0.019484859,0.0002656654,None,None,1.0
700000,-0.54347336,3.3208022,None,0.00774611,0.02355819,0.0002651406,None,None,1.0
710000,-0.6051545,3.3409908,1999.0,0.006643683,0.025152681,0.00026457422,-4.942250331863761,-4.942250331863761,1.0
720000,-0.60898316,3.332025,None,0.003878565,0.021460969,0.00026402384,None,None,1.0
730000,-0.6638479,3.181506,None,None,None,None,None,None,1.0
740000,-0.65161306,3.0686326,None,0.0038272652,0.028759593,0.00026349904,None,None,1.0
750000,-0.64773667,3.052421,1999.0,0.0050932826,0.02047696,0.00026293582,None,None,1.0
760000,-0.6014895,3.0187175,None,0.0025417134,0.02569041,0.000262395,-20.765499971807003,-20.765499971807003,1.0
770000,-0.50292075,3.2506456,1999.0,0.003075984,0.0301263,0.0002618702,-8.297732303052076,-8.297732303052076,1.0
