Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
940000,0.004174599,0.031048989,0.026488751,0.00020648404,1.3772546,1332.2307692307693,-0.4594122534343863,-0.4594122534343863,1.0
950000,0.0064861183,0.033949602,0.022697594,0.0002053709,1.3769592,1295.0,0.09472167254554936,0.09472167254554936,1.0
960000,-0.003693332,0.025106136,0.025997804,0.00020426928,1.3755355,1102.3846153846155,0.7044610650851749,0.7044610650851749,1.0
970000,0.0153328525,0.0496313,0.020063324,0.0002032377,1.3737544,223.0,2.441249731933931,2.441249731933931,1.0
980000,-0.049591582,0.02688061,0.022425912,0.0002021796,1.373482,591.2857142857143,1.1757495519705117,1.1757495519705117,1.0
990000,0.014331887,0.031719532,0.024255635,0.00020114369,1.3727072,673.4,1.7436663111361363,1.7436663111361363,1.0
1000000,0.0075011454,0.022512337,0.029667053,0.00020006082,1.3723083,719.6,1.1997746524546529,1.1997746524546529,1.0
1010000,0.10052267,None,None,None,1.3702787,593.9473684210526,1.592920723934903,1.592920723934903,1.0
1020000,0.01515631,0.05581471,0.03164891,0.00019898168,1.3688539,725.0,2.460799781058449,2.460799781058449,1.0
1030000,0.042026296,0.022080364,0.025093518,0.00019788202,1.367357,1615.0,-1.1031160170140748,-1.1031160170140748,1.0
1040000,0.0032886246,0.035382688,0.027840346,0.00019674127,1.3653148,875.0,0.35429957644858706,0.35429957644858706,1.0
1050000,0.023129089,0.033077534,0.022190949,0.0001956549,1.3642721,609.4,1.6784497796557845,1.6784497796557845,1.0
1060000,0.06734657,0.036285926,0.02640707,0.00019450327,1.36341,534.2,1.6635996555327437,1.6635996555327437,1.0
1070000,0.0207293,0.03560988,0.025202148,0.00019346004,1.3622772,393.4,2.0146997827105224,2.0146997827105224,1.0
1080000,-0.027671598,0.019659456,0.024395986,0.00019242006,1.362295,865.4,0.8346995386295021,0.8346995386295021,1.0
1090000,-0.02395291,0.014298612,0.019613763,0.00019138568,1.3627588,1320.7777777777778,-0.13666718748087683,-0.13666718748087683,1.0
1100000,0.009685601,0.029564295,0.024726473,0.00019030449,1.3619689,724.6,1.1874996472382917,1.1874996472382917,1.0
