Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2440000,1.3240137,0.037142098,170.73333333333332,2.3043929344275966,2.3043929344275966,0.04010192,0.02066976,5.6798486e-05,1.0
2450000,1.3235487,0.033633273,819.3478260869565,0.4324564582885891,0.4324564582885891,0.03836799,0.024521299,5.5740864e-05,1.0
2460000,1.3231791,0.078385085,412.42857142857144,1.760608708987053,1.760608708987053,0.06624417,0.024962993,5.4642085e-05,1.0
2470000,1.3227975,0.028378021,114.2,2.6086667350570982,2.6086667350570982,0.056217536,0.020255527,5.3522075e-05,1.0
2480000,1.3224599,-0.05656624,743.55,0.5782082453370094,0.5782082453370094,0.030087773,0.021000624,5.243327e-05,1.0
2490000,1.3222928,0.04787514,678.2666666666667,1.2374723439441166,1.2374723439441166,0.06371526,0.02090071,5.1407278e-05,1.0
2500000,1.3222138,0.029777117,460.2,1.987233353871852,1.987233353871852,0.03252458,0.027286215,5.036768e-05,1.0
2510000,1.3223567,0.04965086,814.5294117647059,0.5118459861080807,0.5118459861080807,0.036709595,0.028977603,4.9278104e-05,1.0
2520000,1.3224283,0.07212335,1296.2307692307693,0.7388076718824987,0.7388076718824987,0.0318675,0.025841786,4.819688e-05,1.0
2530000,1.3223526,0.080618486,323.42105263157896,1.2970000532273527,1.2970000532273527,0.032120276,0.022210114,4.7102094e-05,1.0
2540000,1.3223978,0.054464683,497.60869565217394,1.4120000369705097,1.4120000369705097,0.060729664,0.019421877,4.6068893e-05,1.0
2550000,1.3221898,0.07077066,607.5714285714286,0.5206666398961615,0.5206666398961615,0.04833348,0.022527823,4.5040073e-05,1.0
2560000,1.3222253,0.14328355,549.9473684210526,1.5690833889141989,1.5690833889141989,None,None,None,1.0
2570000,1.3223349,0.14752662,165.6,2.4353001359361226,2.4353001359361226,0.06898036,0.02694665,4.3938882e-05,1.0
2580000,1.3223754,-0.03568873,1183.0,None,None,0.054070022,0.023216229,4.28825e-05,1.0
2590000,1.3225594,-0.11322616,1999.0,-2.0976113075739704,-2.0976113075739704,0.027543673,0.027486032,4.183609e-05,1.0
2600000,1.3225573,0.0025679616,486.57142857142856,1.7358929689632663,1.7358929689632663,0.007925092,0.023402216,4.0798892e-05,1.0
2610000,1.3226166,0.053681057,543.65,1.3876842497970516,1.3876842497970516,0.06760751,0.017741866,3.9684277e-05,1.0
2620000,1.3225718,0.06405174,557.1363636363636,1.120304323469653,1.120304323469653,0.040488563,0.0210613,3.86597e-05,1.0
2630000,1.3224411,0.029350197,781.4615384615385,1.9358500646892935,1.9358500646892935,0.060565326,0.024032312,3.762889e-05,1.0
2640000,1.3223447,0.041424222,421.6,0.9753261315712259,0.9753261315712259,0.03635989,0.018618967,3.6548492e-05,1.0
2650000,1.3222893,-0.010299811,368.05263157894734,1.9843158710772466,1.9843158710772466,0.05857772,0.028394815,3.549889e-05,1.0
2660000,1.3222753,0.03971648,255.6,2.095200087875128,2.095200087875128,0.044488277,0.026823454,3.4412096e-05,1.0
2670000,1.3222495,0.05226086,843.8571428571429,0.3932499839803703,0.3932499839803703,0.050725337,0.033701308,3.3370878e-05,1.0
2680000,1.322269,0.04389321,759.5925925925926,0.992687520058098,0.992687520058098,0.057551146,0.029878248,3.2282085e-05,1.0
2690000,1.3222421,0.12304352,493.95652173913044,2.5945791143825963,2.5945791143825963,0.08072423,0.029704614,3.1190884e-05,1.0
2700000,1.3220046,0.14194354,176.2972972972973,1.9634756367290165,1.9634756367290165,0.0745504,0.022540474,3.0164088e-05,1.0
2710000,1.3220513,0.13476408,209.42857142857142,2.682291840086691,2.682291840086691,0.079146355,0.021745063,2.9133886e-05,1.0
2720000,1.3220394,0.04437286,198.2,2.632750107624036,2.632750107624036,0.055659957,0.0244315,2.8088905e-05,1.0
2730000,1.3219006,0.051527046,538.1304347826087,1.3974999706468745,1.3974999706468745,0.03735658,0.025021391,2.7063381e-05,1.0
2740000,1.3221085,0.022874618,151.28571428571428,2.6816667344278864,2.6816667344278864,0.06042744,0.021927925,2.602449e-05,1.0
2750000,1.3223153,0.09302618,393.0,2.0466380311609726,2.0466380311609726,None,None,None,1.0
2760000,1.3223875,-0.03813147,647.0,None,None,0.05201441,0.025811331,2.4898092e-05,1.0
2770000,1.3222764,0.091197,753.3157894736842,0.6120207523296509,0.6120207523296509,0.034624588,0.02213754,2.3834486e-05,1.0
2780000,1.3221408,0.16470167,288.6111111111111,2.351971501328184,2.351971501328184,0.04054097,0.02844027,2.2718497e-05,1.0
2790000,1.3220602,0.06588418,1010.7647058823529,0.4827272410991348,0.4827272410991348,0.07774984,0.018920232,2.1619704e-05,1.0
2800000,1.3219953,0.13712142,244.71428571428572,2.6026667436752984,2.6026667436752984,0.040719066,0.020780522,2.0556494e-05,1.0
2810000,1.3219597,0.08561086,759.6153846153846,0.8916071494542328,0.8916071494542328,0.065821365,0.023781978,1.9456498e-05,1.0
2820000,1.3219687,0.15874481,601.3636363636364,1.4156730801243191,1.4156730801243191,0.054679386,0.022760337,1.8326093e-05,1.0
2830000,1.321962,0.19331484,492.3269230769231,1.9214456392371135,1.9214456392371135,0.070795015,0.021689361,1.7215694e-05,1.0
2840000,1.3219781,0.3548578,416.8888888888889,1.2975536338760452,1.2975536338760452,0.10659895,0.021711761,1.6116097e-05,1.0
2850000,1.3218977,0.24107729,269.7368421052632,2.469937583315186,2.469937583315186,0.06531097,0.021208191,1.5078492e-05,1.0
2860000,1.3218658,0.12014892,223.0,2.2891001117648555,2.2891001117648555,0.046516173,0.021375554,1.4017304e-05,1.0
2870000,1.3219078,0.053421367,898.1428571428571,0.18282128880881438,0.18282128880881438,None,None,None,1.0
2880000,1.3219073,0.09460985,391.0,1.6546333603095262,1.6546333603095262,0.040087674,0.022678541,1.2988891e-05,1.0
2890000,1.3218182,0.08303404,206.52,2.4730600927537307,2.4730600927537307,0.052045234,0.026633065,1.1914503e-05,1.0
2900000,1.3217437,-0.022181189,None,None,None,0.05489047,0.023464847,1.0806895e-05,1.0
2910000,1.3216949,-0.10689585,286.85714285714283,2.1544500850723125,2.1544500850723125,0.028181547,0.027355285,9.7061e-06,1.0
2920000,1.3216592,-0.03852383,525.0,1.9851666373110168,1.9851666373110168,0.014673605,0.021536218,8.61809e-06,1.0
2930000,1.3216827,-0.05079778,1092.3333333333333,-1.2276539649912872,-1.2276539649912872,0.031702284,0.023224052,7.58129e-06,1.0
2940000,1.3217442,-0.061455954,189.66666666666666,2.0417273262388664,2.0417273262388664,0.029701538,0.026821965,6.5420945e-06,1.0
2950000,1.3217999,-0.106741235,1059.0,2.8698574794190272,2.8698574794190272,0.031273637,0.016488368,5.4264947e-06,1.0
2960000,1.321826,-0.058828995,767.0,-0.34788469767394975,-0.34788469767394975,0.030465966,0.019690402,4.3709015e-06,1.0
2970000,1.3218502,0.19640152,532.1428571428571,1.3925213154066016,1.3925213154066016,0.07084819,0.018099193,3.252904e-06,1.0
2980000,1.3218576,0.13781264,428.7142857142857,1.7988958462374285,1.7988958462374285,0.09323092,0.025882948,2.2222916e-06,1.0
2990000,1.3218571,0.1144181,578.7894736842105,1.3000434054132632,1.3000434054132632,0.05928899,0.02255414,1.106493e-06,1.0
3000000,1.3218486,0.13182123,850.9047619047619,-0.09238894518542413,-0.09238894518542413,None,None,None,1.0
