Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
400000,1.3981682,-0.31065112,0.0052847844,0.024439001,0.00029430722,1346.6666666666667,-5.624555895725886,-5.624555895725886,1.0
410000,1.3973039,-0.24960645,0.012590908,0.021876276,0.00029415239,1233.6,-3.9694002012411755,-3.9694002012411755,1.0
420000,1.3969489,-0.3209531,0.0116107715,0.030613946,0.0002940008,None,-6.996000150839488,-6.996000150839488,1.0
430000,1.39589,-0.17668663,None,None,None,1017.5,-3.424083638936281,-3.424083638936281,1.0
440000,1.3941293,-0.33731154,0.015609897,0.02647363,0.00029384816,None,None,None,1.0
450000,1.3932025,-0.36839423,0.0068179048,0.019351184,0.00029369455,1652.3333333333333,-5.042778091298209,-5.042778091298209,1.0
460000,1.393717,-0.26984566,0.0065999352,0.020788511,0.00029354787,1012.5,-3.397333525121212,-3.397333525121212,1.0
470000,1.394683,-0.1661456,0.017676277,0.023340136,0.00029339723,1144.5,-3.6128890158401594,-3.6128890158401594,1.0
480000,1.395695,-0.26726294,0.007383667,0.030938655,0.00029323224,1999.0,-7.332333862781525,-7.332333862781525,1.0
490000,1.3958089,-0.28843823,0.01783359,0.022927484,0.00029308168,984.0,-2.5678181871771812,-2.5678181871771812,1.0
500000,1.3948467,-0.22095753,0.018350808,0.025712503,0.0002929225,1065.75,-2.4793001977726816,-2.4793001977726816,1.0
510000,1.3941787,-0.2622091,0.014484967,0.028445927,0.0002927622,1379.0,-3.5641668339570365,-3.5641668339570365,1.0
520000,1.3939036,-0.24223156,0.0101879705,0.02718904,0.0002926094,1014.0,-4.428000267595053,-4.428000267595053,1.0
530000,1.3927225,-0.13540219,0.00851044,0.021586029,0.00029245907,672.3333333333334,-2.626900134794414,-2.626900134794414,1.0
540000,1.393261,-0.28676867,0.011060819,0.026439566,0.00029229323,1165.5,-3.1638335386912027,-3.1638335386912027,1.0
550000,1.3937643,-0.22792,None,None,None,977.1428571428571,-2.6131580813150657,-2.6131580813150657,1.0
560000,1.3935288,-0.16545977,0.011767596,0.028237836,0.00029213144,1059.8,-4.088470786809921,-4.088470786809921,1.0
570000,1.3927532,-0.12154051,0.019616788,0.02398264,0.00029196998,755.8,-1.1802000835537911,-1.1802000835537911,1.0
580000,1.3928739,-0.19145225,0.02072863,0.02284305,0.0002918194,476.3333333333333,0.9483335150612725,0.9483335150612725,1.0
590000,1.392762,-0.24907021,0.027387615,0.02586439,0.00029165862,None,None,None,1.0
600000,1.392647,-0.18962765,0.013070245,0.03047332,0.000291505,1002.0,-3.5125001103927693,-3.5125001103927693,1.0
610000,1.3934866,-0.2571779,0.0047355345,0.024284188,0.00029134745,1407.0,-3.916750162607059,-3.916750162607059,1.0
620000,1.3945067,-0.114451244,0.016369049,0.022598643,0.0002911929,718.4285714285714,-2.2810000657387404,-2.2810000657387404,1.0
