Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
330000,-0.41588932,4.454438,None,None,None,None,None,None,1.0
340000,-0.44191924,None,None,0.0021309953,0.022204204,0.00028339567,None,None,1.0
350000,-0.45251554,4.446243,None,None,None,None,None,None,1.0
360000,-0.47336873,4.448452,1999.0,0.0056855814,0.027079493,0.0002823716,-8.011805694550276,-8.011805694550276,1.0
370000,-0.4926459,None,1999.0,0.0021856811,0.026612042,0.0002818148,-8.161854883035025,-8.161854883035025,1.0
380000,-0.5021076,4.488729,1999.0,None,None,None,-7.411021643064239,-7.411021643064239,1.0
390000,-0.2579017,4.449959,None,0.0072041093,0.023248486,0.0002808868,-6.668932968378067,-6.668932968378067,1.0
400000,-0.24300769,None,None,0.013052932,0.036270864,0.0002802724,None,None,1.0
410000,-0.29043105,4.444565,None,None,None,None,None,None,1.0
420000,-0.29929122,4.4457464,None,0.015774192,0.023416873,0.00027924837,None,None,1.0
430000,-0.39828628,None,None,0.0051582963,0.027515272,0.00027863402,None,None,1.0
440000,-0.4365909,4.441911,None,None,None,None,None,None,1.0
450000,-0.43890062,4.43764,1090.5,0.010795754,0.02695196,0.00027761003,-3.0550505705177784,-3.0550505705177784,1.0
460000,-0.48257542,4.4448347,None,None,None,None,-4.864285528659821,-4.864285528659821,1.0
470000,-0.47355336,4.4305196,None,0.0061541176,0.03154871,0.00027696864,None,None,1.0
480000,-0.4211475,4.435084,1999.0,0.0018430199,0.017956216,0.00027614945,-6.966810539364815,-6.966810539364815,1.0
490000,-0.44217092,4.43885,1999.0,None,None,None,-7.838924725850423,-7.838924725850423,1.0
500000,-0.48938727,4.486823,1999.0,0.006301308,0.02066982,0.00027538778,-7.432878718489692,-7.432878718489692,1.0
510000,-0.45428663,4.449042,None,0.009391807,0.021573598,0.0002746454,-7.872950533404946,-7.872950533404946,1.0
