Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1150000,1.3692396,0.0906655,1999.0,3.1562452969642787,3.1562452969642787,0.0060186335,0.027462428,0.00028852595,1.0
1160000,1.3701327,0.1852871,None,4.006498914957047,4.006498914957047,None,None,None,1.0
1170000,1.3700037,0.17622048,None,None,None,0.013011653,0.022700557,0.00028838744,1.0
1180000,1.3712426,0.106980704,1999.0,None,None,0.016978202,0.026519345,0.00028827475,1.0
1190000,1.3724538,0.12859271,1999.0,3.2264935250083604,3.2264935250083604,0.006058023,0.027987871,0.000288166,1.0
1200000,1.3723149,0.191296,None,None,None,0.015556014,0.022588106,0.0002880274,1.0
1210000,1.3722937,0.12036371,None,None,None,0.012427398,0.023256648,0.00028791477,1.0
1220000,1.3712224,0.09065245,1999.0,3.1129437386989594,3.1129437386989594,0.005939745,0.023283744,0.00028781063,1.0
1230000,1.3702303,0.16564097,None,3.4501547118028006,3.4501547118028006,None,None,None,1.0
1240000,1.3689939,0.1696159,None,None,None,0.018496884,0.022631291,0.0002876673,1.0
1250000,1.3687736,0.12291068,None,None,None,0.012014608,0.027709907,0.00028755475,1.0
1260000,1.3659016,0.10972594,1999.0,3.0620932351140415,3.0620932351140415,0.008665546,0.02365853,0.00028744602,1.0
1270000,1.3655443,0.22206894,None,6.006598353385925,6.006598353385925,0.02002978,0.025701366,0.0002873074,1.0
1280000,1.365001,0.15274537,None,None,None,None,None,None,1.0
1290000,1.3647965,0.09958698,1999.0,3.000824362039566,3.000824362039566,0.011623256,0.022753788,0.00028719474,1.0
1300000,1.3642623,0.10838495,1999.5714285714287,3.2192205116152763,3.2192205116152763,0.0074842325,0.019481776,0.00028708592,1.0
1310000,1.3651104,0.1740571,None,None,None,0.02019313,0.02601397,0.0002869473,1.0
1320000,1.3651581,0.101442814,None,None,None,0.009825665,0.021770665,0.0002868347,1.0
1330000,1.3648174,0.07516752,1999.0,3.5413375749037814,3.5413375749037814,0.006040568,0.023829546,0.0002867259,1.0
1340000,1.3649676,0.16943036,None,3.207259386777878,3.207259386777878,None,None,None,1.0
1350000,1.3627275,0.17216118,None,None,None,0.017513098,0.02408568,0.00028658737,1.0
1360000,1.3615478,0.118939824,1999.0,None,None,0.016073367,0.024995457,0.0002864747,1.0
1370000,1.3594477,0.109664544,1999.0,3.3371546922458544,3.3371546922458544,0.009097079,0.02557503,0.00028635198,1.0
1380000,1.3574798,0.20557126,None,None,None,0.019767404,0.026267983,0.0002862273,1.0
1390000,1.3572478,0.12875251,None,None,None,0.01278428,0.021215562,0.0002861147,1.0
1400000,1.3546711,0.100815214,1999.0,3.446432323919402,3.446432323919402,0.008560276,0.02102593,0.00028600587,1.0
1410000,1.3527948,0.16820538,None,3.3395767741733127,3.3395767741733127,None,None,None,1.0
1420000,1.3499212,0.16599809,None,None,None,0.019224912,0.023870824,0.0002858776,1.0
1430000,1.3497038,0.11156297,None,None,None,0.01631539,0.024178334,0.0002857701,1.0
1440000,1.3488632,0.07139381,1999.2222222222222,3.5333521839450386,3.5333521839450386,0.006378035,0.020302352,0.0002856645,1.0
1450000,1.3481482,0.23074643,None,6.008398771286011,6.008398771286011,0.024774125,0.029132819,0.0002855073,1.0
1460000,1.3472221,0.13420524,None,None,None,None,None,None,1.0
1470000,1.3476613,0.11101512,1999.0,2.750849399715662,2.750849399715662,0.009957636,0.024988934,0.00028539466,1.0
1480000,1.3469769,0.11703927,1999.0,3.433227731713227,3.433227731713227,0.0051605674,0.02593001,0.00028528587,1.0
1490000,1.3492602,0.19292243,None,None,None,0.016235946,0.023352219,0.00028514737,1.0
1500000,1.3494493,0.1348083,None,None,None,0.015338227,0.024330467,0.00028503468,1.0
1510000,1.3493006,0.10453802,1999.0,3.310206564573141,3.310206564573141,0.0060165036,0.023331465,0.00028493055,1.0
1520000,1.3487116,0.21048765,None,3.006459155678749,3.006459155678749,0.019124802,0.020833708,0.0002848129,1.0
1530000,1.3485546,0.18028262,None,None,None,None,None,None,1.0
1540000,1.3477968,0.124437004,1999.0,None,None,0.013026542,0.02129693,0.00028469515,1.0
1550000,1.3482645,0.12217517,1999.0,3.6708046752545567,3.6708046752545567,0.008154764,0.02809736,0.00028458438,1.0
1560000,1.3512726,0.25329727,None,None,None,0.015782652,0.021225413,0.00028442737,1.0
1570000,1.3515276,0.14989738,None,None,None,0.014802841,0.021932939,0.00028431468,1.0
1580000,1.3499305,0.13109872,1999.0,3.4463546954923205,3.4463546954923205,0.007939051,0.025697267,0.00028420583,1.0
1590000,1.3495729,0.15760647,None,3.2284434768888683,3.2284434768888683,None,None,None,1.0
1600000,1.3501269,0.16730422,None,None,None,0.023019008,0.020205857,0.0002840673,1.0
1610000,1.350127,0.12932369,None,None,None,0.010545528,0.02502126,0.00028395467,1.0
1620000,1.3497546,0.09155214,1999.0,3.2980049226213906,3.2980049226213906,0.006477249,0.026459021,0.00028384582,1.0
1630000,1.3487393,0.20127968,None,3.0075992941856384,3.0075992941856384,0.022964343,0.019291315,0.00028370725,1.0
1640000,1.3478487,0.15247425,None,None,None,None,None,None,1.0
1650000,1.3456979,0.11258884,1999.0,2.5006993748247623,2.5006993748247623,0.009643842,0.024901386,0.00028359465,1.0
1660000,1.3457124,0.1312919,1999.0,3.7191205429179326,3.7191205429179326,0.0053988863,0.028971758,0.00028348586,1.0
1670000,1.3430419,0.16375872,None,None,None,0.021080034,0.025279889,0.00028334733,1.0
1680000,1.342735,0.10581038,None,None,None,0.012124075,0.027247816,0.00028323467,1.0
1690000,1.3401932,0.067930944,1999.0,2.8489607824729037,2.8489607824729037,0.0041508703,0.022061402,0.00028312585,1.0
1700000,1.3389702,0.1416175,None,4.006279093027115,4.006279093027115,None,None,None,1.0
1710000,1.3376621,0.11831933,None,None,None,0.02023842,0.02381229,0.00028298725,1.0
1720000,1.3368489,0.08577776,1999.0,None,None,0.010362657,0.02891566,0.00028287468,1.0
1730000,1.3360631,0.102438174,1999.0,3.1701658194263778,3.1701658194263778,0.005578169,0.02239035,0.0002827566,1.0
1740000,1.3375244,0.18506181,None,None,None,0.023107635,0.029236786,0.00028262736,1.0
1750000,1.3376453,0.12507603,None,None,None,0.010176196,0.022433592,0.00028251467,1.0
1760000,1.3374271,0.10882785,1999.0,3.7798879659838147,3.7798879659838147,0.007924962,0.023196539,0.00028240588,1.0
1770000,1.3359083,0.15300193,None,2.561577104859882,2.561577104859882,None,None,None,1.0
1780000,1.3368236,0.17489734,None,None,None,0.017958071,0.026397724,0.00028226728,1.0
1790000,1.3369625,0.1239041,None,None,None,0.01015614,0.016698588,0.00028215468,1.0
1800000,1.3382114,0.09739442,1999.0,3.7096518944291508,3.7096518944291508,0.011116962,0.0240417,0.00028204583,1.0
1810000,1.3385626,0.24512164,None,1.008299469947815,1.008299469947815,0.021851622,0.02147382,0.00028190736,1.0
1820000,1.3383142,0.13420737,None,None,None,None,None,None,1.0
1830000,1.3352867,0.109784566,1999.0,3.250849235802889,3.250849235802889,0.010896707,0.021649176,0.00028179467,1.0
1840000,1.3330557,0.13204722,1999.0,3.7908491247466634,3.7908491247466634,0.0062352917,0.036283236,0.00028167194,1.0
1850000,1.3341045,0.1870792,None,None,None,0.024776742,0.019541744,0.0002815473,1.0
1860000,1.3341258,0.1314329,None,None,None,0.011794326,0.027395258,0.00028143465,1.0
1870000,1.3321977,0.09333103,1999.0,4.002806952366462,4.002806952366462,0.008762691,0.021502968,0.00028131658,1.0
1880000,1.3320217,0.20508668,None,3.6075190395116805,3.6075190395116805,0.021007083,0.02460732,0.0002812129,1.0
1890000,1.3320849,0.18194297,None,None,None,None,None,None,1.0
1900000,1.3328438,0.1136085,1999.0,None,None,0.017189026,0.026616579,0.00028109516,1.0
1910000,1.3329235,0.12348554,1999.1176470588234,3.7818046377764807,3.7818046377764807,0.006319374,0.020625597,0.0002809844,1.0
1920000,1.3329598,0.22123332,None,None,None,0.020628411,0.024320133,0.00028082728,1.0
1930000,1.3329568,0.15291096,None,None,None,0.013787173,0.02204259,0.00028071465,1.0
1940000,1.3321259,0.11808246,1999.0,3.335565755764643,3.335565755764643,0.004864677,0.03458365,0.00028060577,1.0
1950000,1.333111,0.17710467,None,3.1169547587633133,3.1169547587633133,None,None,None,1.0
1960000,1.3313978,0.18071578,None,None,None,0.019423518,0.022645732,0.0002804672,1.0
1970000,1.3312035,0.12765516,None,None,None,0.010419308,0.022657698,0.00028035464,1.0
1980000,1.330108,0.11494482,1999.0,3.8278165801483044,3.8278165801483044,0.010705233,0.021809135,0.00028023656,1.0
1990000,1.3283956,0.21306881,None,1.0089997053146362,1.0089997053146362,0.019244125,0.02545551,0.00028010728,1.0
2000000,1.3275878,0.1419745,None,None,None,None,None,None,1.0
2010000,1.3246286,0.116956055,1999.0,2.7507989704608917,2.7507989704608917,0.009196436,0.02489711,0.00027999465,1.0
2020000,1.3241719,0.13681996,1999.0,2.7184706713472093,2.7184706713472093,0.006967293,0.021360086,0.0002798858,1.0
2030000,1.3242971,0.15716834,None,None,None,0.019941805,0.02378007,0.00027977288,1.0
2040000,1.3208989,0.14301595,None,None,None,0.017224975,0.02088037,0.00027965513,1.0
2050000,1.3205398,0.090476446,1999.111111111111,3.156514355769524,3.156514355769524,0.0051531866,0.023899222,0.00027953976,1.0
2060000,1.3173989,0.20575826,None,5.006758844852447,5.006758844852447,0.015788073,0.02268304,0.0002794231,1.0
2070000,1.3191845,0.17413023,None,None,None,None,None,None,1.0
2080000,1.318484,0.1131495,1999.0,None,None,0.020765034,0.022302207,0.00027929514,1.0
2090000,1.3208779,0.113068976,1999.0,3.5596713489956326,3.5596713489956326,0.0040751793,0.020501837,0.00027917975,1.0
2100000,1.3218983,0.20371029,None,None,None,0.021104816,0.024744436,0.00027902727,1.0
2110000,1.3218896,0.12374425,None,None,None,0.009753807,0.02055066,0.00027891464,1.0
2120000,1.3197042,0.11187818,1999.0,2.7796769390503564,2.7796769390503564,0.0064229346,0.023836369,0.0002788058,1.0
2130000,1.3184407,0.14090887,None,3.450032224257787,3.450032224257787,None,None,None,1.0
2140000,1.3170553,0.14259526,None,None,None,0.01900709,0.028745351,0.0002786673,1.0
2150000,1.3168882,0.10133451,None,None,None,0.010210975,0.02245141,0.00027855462,1.0
2160000,1.3154917,0.06929968,1999.0,2.9448344374404236,2.9448344374404236,0.0053999447,0.031446274,0.00027843192,1.0
2170000,1.314808,0.18362065,None,9.006597965955734,9.006597965955734,0.019689053,0.024284458,0.00027831752,1.0
2180000,1.3145965,0.13304047,None,None,None,0.017821884,0.018511022,0.00027820995,1.0
2190000,1.3139131,0.085229166,1999.0,3.5008241049945354,3.5008241049945354,None,None,None,1.0
2200000,1.3137708,0.10726894,1999.0,3.4336134312408313,3.4336134312408313,0.005814104,0.024653891,0.00027809976,1.0
2210000,1.3119555,0.15577012,None,None,None,0.019150738,0.026859967,0.0002779473,1.0
2220000,1.3117439,0.11299922,None,None,None,0.012883385,0.020406742,0.00027783462,1.0
2230000,1.310558,0.084104836,1999.0,3.002314615708131,3.002314615708131,0.007490943,0.019165142,0.00027772586,1.0
2240000,1.3107011,0.16118301,None,3.6063188046216963,3.6063188046216963,None,None,None,1.0
2250000,1.3101714,0.13796954,None,None,None,0.01815639,0.020150682,0.00027758727,1.0
2260000,1.3092351,0.07838429,1999.0,None,None,0.010857842,0.02936688,0.00027747464,1.0
2270000,1.3093277,0.08076715,1999.0,3.1147659106387033,3.1147659106387033,0.0065871286,0.025265193,0.00027733794,1.0
2280000,1.3078538,0.15766779,None,None,None,0.019004868,0.019308347,0.00027722731,1.0
2290000,1.3076997,0.10502533,None,None,None,0.010919504,0.025446326,0.00027711462,1.0
2300000,1.3073226,0.07537466,1999.0,2.445754733350542,2.445754733350542,None,None,None,1.0
2310000,1.3085024,0.10267321,None,2.7827991826666727,2.7827991826666727,0.0068814126,0.024903616,0.00027699655,1.0
2320000,1.3104559,0.11489252,None,None,None,0.017954215,0.020868964,0.00027687752,1.0
2330000,1.3104943,0.06813755,None,None,None,0.012729008,0.017247248,0.00027677004,1.0
2340000,1.3094732,0.04501807,1999.0,2.7676403925699344,2.7676403925699344,0.0050699087,0.027646648,0.00027665973,1.0
2350000,1.3070681,0.1816468,None,8.006598114967346,8.006598114967346,0.019613996,0.022942048,0.00027651744,1.0
2360000,1.3063829,0.09239702,None,None,None,0.011155028,0.027609093,0.00027641,1.0
