Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
530000,-0.6075915,1.2908521,741.6666666666666,0.09956142,0.03123486,0.00027397773,-3.6315835441152253,-3.6315835441152253,1.0
540000,-0.9513828,1.2905563,1999.0,0.06296064,0.029860184,0.0002734131,-9.329333821932474,-9.329333821932474,1.0
550000,-0.66685915,1.2906023,1999.0,0.08495879,0.024209546,0.00027288272,None,None,1.0
560000,-1.0241778,1.291411,193.0,0.15709418,0.03619431,0.0002723523,-5.315833702683449,-5.315833702683449,1.0
570000,-0.49072942,1.2892131,1460.5,0.046006687,0.02490702,0.00027182803,-6.4706670840581255,-6.4706670840581255,1.0
580000,-0.75243205,1.287649,None,0.07100619,0.024255332,0.00027127037,None,None,1.0
590000,-0.47547555,1.2850128,1677.8333333333333,0.02122682,0.020573163,0.00027074717,-7.724833842780855,-7.724833842780855,1.0
600000,-0.62680304,1.2814907,1898.0,0.078837864,0.025493676,0.00027022563,-8.992000545064608,-8.992000545064608,1.0
610000,-0.48735216,1.2795587,None,0.01919178,0.02495663,0.0002696952,None,None,1.0
620000,-0.39451334,1.2783997,661.0,0.055756234,0.04061349,0.00026915767,-2.1968890163633557,-2.1968890163633557,1.0
630000,-0.5678848,1.2783053,1999.0,0.043016043,0.0308513,0.0002686366,-9.329333782196045,-9.329333782196045,1.0
640000,-0.51271975,1.278998,1999.0,0.045044407,0.025738971,0.0002681133,-9.329833885033926,-9.329833885033926,1.0
650000,-1.9582592,1.2792654,None,8.556937,0.07759987,0.00026757567,None,None,1.0
660000,-0.52807045,1.279954,1571.0,0.075069256,0.034967285,0.00026705253,-6.572250428299109,-6.572250428299109,1.0
670000,-1.8877594,1.2799284,1125.75,None,None,None,-5.837933739026387,-5.837933739026387,1.0
680000,-0.32488135,1.2806795,667.5,1.0276155,0.15359375,0.00026648867,-2.8400001376867294,-2.8400001376867294,1.0
690000,-6.018306,1.281845,1999.0,13.286253,0.20328148,0.00026590412,-9.442445092731052,-9.442445092731052,1.0
700000,-11.801514,1.2847114,1999.0,0.111773334,0.022498315,0.00026538814,-9.662667195002237,-9.662667195002237,1.0
710000,-0.12563345,1.2842672,1999.0,124.177444,0.23264576,0.00026485775,-9.662667155265808,-9.662667155265808,1.0
720000,0.12533358,1.2868168,669.0,0.24652658,0.1727705,0.00026430367,-2.679333508014679,-2.679333508014679,1.0
730000,-0.13662791,1.2931131,1063.0,0.04866881,0.12354354,0.000263766,-3.9826669692993164,-3.9826669692993164,1.0
740000,-0.19026898,1.295837,1692.3333333333333,0.042686462,0.057730798,0.000263244,-7.741278307305442,-7.741278307305442,1.0
750000,-0.24109364,1.2980524,1999.0,0.09901382,0.05840328,0.00026270407,-9.330833931763967,-9.330833931763967,1.0
760000,-0.23486957,1.299054,1645.5,0.087753005,0.028348494,0.00026213328,-7.276800495386124,-7.276800495386124,1.0
770000,-0.2633232,1.299792,None,0.12329961,0.03165261,0.00026160287,-7.999000608921051,-7.999000608921051,1.0
780000,-0.08838406,1.2993453,1062.0,0.11034558,0.01753689,0.00026107248,-4.979166915019353,-4.979166915019353,1.0
790000,-0.32818833,1.2985938,1999.0,0.07353662,0.02733463,0.00026052314,-9.662667195002237,-9.662667195002237,1.0
