Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3580000,2.0587227,1432.25,-9.561892,-154.29512099921703,-154.29512099921703,1.0
3590000,2.0359483,1567.25,-9.28543,-163.0735284090042,-163.0735284090042,1.0
3600000,2.052901,980.2,-9.866903,-84.94855711460113,-84.94855711460113,1.0
3610000,1.9805409,439.0,-9.121478,-35.12937444990332,-35.12937444990332,1.0
3620000,2.1339257,1334.0,-9.17253,-112.77707403235965,-112.77707403235965,1.0
3630000,2.0848498,575.6666666666666,-8.719542,-53.26404552658399,-53.26404552658399,1.0
3640000,2.041639,1503.0,-13.739458,-124.37913656234741,-124.37913656234741,1.0
3650000,2.0326195,984.5,-8.849224,-92.59651512652636,-92.59651512652636,1.0
3660000,2.030717,None,-9.087046,None,None,1.0
3670000,2.0159347,754.0,-16.911009,-71.23590153455734,-71.23590153455734,1.0
3680000,1.9486645,666.0,-8.320799,-61.21555843353271,-61.21555843353271,1.0
3690000,2.031331,973.0,-9.108728,-68.03532436915806,-68.03532436915806,1.0
3700000,2.025921,1698.0,-8.954723,-143.76752941310406,-143.76752941310406,1.0
3710000,2.002166,1289.0,-17.341639,-784.1498208840688,-784.1498208840688,1.0
3720000,2.0026767,1999.0,-9.056331,-199.5852975845337,-199.5852975845337,1.0
3730000,1.9979273,None,-9.09841,None,None,1.0
3740000,1.969042,1341.0,-9.312197,-150.06644919514656,-150.06644919514656,1.0
3750000,2.0085742,1999.0,-8.765191,-188.0928168296814,-188.0928168296814,1.0
3760000,1.9816364,None,-8.646181,None,None,1.0
3770000,2.0005543,1919.0,-9.444291,-169.59155547618866,-169.59155547618866,1.0
3780000,1.9558115,1062.0,-8.778481,-143.30817839503288,-143.30817839503288,1.0
3790000,2.004732,1575.6666666666667,-8.814424,-135.55905628204346,-135.55905628204346,1.0
3800000,1.9978304,None,-9.194956,-171.76910591125488,-171.76910591125488,1.0
3810000,2.02279,1950.5,-8.953504,-196.9467158317566,-196.9467158317566,1.0
3820000,2.0259752,1347.5,-8.818161,-118.068932056427,-118.068932056427,1.0
3830000,2.0278313,1662.25,-8.826408,-176.0155506581068,-176.0155506581068,1.0
3840000,2.0028417,985.5,-8.754756,-77.32403564453125,-77.32403564453125,1.0
3850000,1.9698584,1110.5,-8.605447,-138.84345161914825,-138.84345161914825,1.0
3860000,1.986776,1379.0,-8.662186,-117.78862810134888,-117.78862810134888,1.0
3870000,2.0196261,880.75,-8.793185,-78.56928046544392,-78.56928046544392,1.0
3880000,2.0035696,1012.3333333333334,-8.848901,-88.1802620490392,-88.1802620490392,1.0
3890000,2.0155323,783.5,-8.136601,-51.4922389321857,-51.4922389321857,1.0
3900000,2.0057144,1179.0,-8.769882,-99.58037769794464,-99.58037769794464,1.0
3910000,2.0358555,None,-8.614221,None,None,1.0
3920000,2.0671108,1999.0,-8.461245,-181.42865478992462,-181.42865478992462,1.0
3930000,2.0516548,1011.6666666666666,-8.14156,-81.91585999727249,-81.91585999727249,1.0
3940000,2.0184393,1665.0,-9.425164,-167.98357617855072,-167.98357617855072,1.0
3950000,1.9877127,None,-9.088817,None,None,1.0
3960000,2.0076206,1389.0,-8.836337,-122.31033420562744,-122.31033420562744,1.0
3970000,2.043359,613.5,-8.581985,-54.05007064342499,-54.05007064342499,1.0
3980000,2.0438383,1491.0,-9.200634,-134.58109547694525,-134.58109547694525,1.0
3990000,2.0474975,974.6666666666666,-9.455028,-88.94051816246726,-88.94051816246726,1.0
4000000,2.0001528,480.5,-9.034364,-38.34986021783617,-38.34986021783617,1.0
4010000,1.9987602,1999.0,-8.529064,-223.604962348938,-223.604962348938,1.0
4020000,1.9920322,741.75,-8.925654,-57.7301018089056,-57.7301018089056,1.0
4030000,1.9508593,None,-8.482157,None,None,1.0
4040000,2.0225768,741.0,-8.802727,-61.418114975094795,-61.418114975094795,1.0
4050000,1.9611026,1460.0,-8.996791,-154.68521252274513,-154.68521252274513,1.0
4060000,1.9906937,1999.0,-8.870071,-184.8809585571289,-184.8809585571289,1.0
4070000,2.020159,977.0,-8.495931,-96.41959064147052,-96.41959064147052,1.0
4080000,1.9864066,1034.0,-8.313995,-78.47839157581329,-78.47839157581329,1.0
4090000,1.9982699,None,-8.61902,None,None,1.0
4100000,1.9918581,None,-8.658165,None,None,1.0
4110000,1.9504874,897.8,-8.421632,-74.03109549283981,-74.03109549283981,1.0
4120000,1.9209074,1999.0,-8.586068,-151.10548210144043,-151.10548210144043,1.0
4130000,1.8965181,1032.0,-9.280113,-99.0490182240804,-99.0490182240804,1.0
4140000,1.9391198,None,-8.764684,None,None,1.0
4150000,2.0182922,1164.0,-8.618452,-96.97465229034424,-96.97465229034424,1.0
4160000,1.9349071,1999.0,-8.31191,-186.6868782043457,-186.6868782043457,1.0
4170000,1.9189962,1595.5,-8.990183,-167.22688937187195,-167.22688937187195,1.0
4180000,1.9411696,1890.5,-8.879091,-190.3178255558014,-190.3178255558014,1.0
4190000,1.9246986,1999.0,-8.5810175,-152.1954288482666,-152.1954288482666,1.0
4200000,1.8950862,None,-8.719457,-305.7691287994385,-305.7691287994385,1.0
4210000,1.927078,1999.0,-9.1651945,-148.38985061645508,-148.38985061645508,1.0
4220000,1.9289718,1715.5,-8.1696615,-149.21625450524417,-149.21625450524417,1.0
4230000,1.967107,1155.5,-8.2962475,-109.71684237888881,-109.71684237888881,1.0
4240000,1.9690193,1248.0,-9.850913,-138.6680549621582,-138.6680549621582,1.0
4250000,1.9409974,1901.3333333333333,-8.593747,-126.36908739805222,-126.36908739805222,1.0
4260000,1.9448236,1396.0,-8.517805,-154.66881585121155,-154.66881585121155,1.0
4270000,1.9342178,1549.0,-9.512995,-162.44352261225382,-162.44352261225382,1.0
4280000,1.9151537,None,-8.623079,-186.73896408081055,-186.73896408081055,1.0
4290000,1.9765121,1284.0,-8.750298,-120.69801822304726,-120.69801822304726,1.0
4300000,1.9332432,790.5,-8.385584,-56.075428581237794,-56.075428581237794,1.0
4310000,1.9557409,None,-8.93765,-91.86535771687825,-91.86535771687825,1.0
4320000,1.9477166,686.0,-8.25335,-50.80438208580017,-50.80438208580017,1.0
4330000,1.962924,None,-8.681146,None,None,1.0
4340000,1.9652992,1510.3333333333333,-9.226672,-142.91051705678305,-142.91051705678305,1.0
4350000,1.9783524,None,-8.155871,None,None,1.0
4360000,1.9638237,1449.0,-8.886164,-125.31288305918376,-125.31288305918376,1.0
4370000,1.96271,1999.0,-9.213314,-157.3449046611786,-157.3449046611786,1.0
4380000,1.9415894,1239.0,-8.25255,-149.10028991699218,-149.10028991699218,1.0
4390000,2.0022986,1169.0,-8.345878,-65.66798156102499,-65.66798156102499,1.0
4400000,2.0149963,927.5,-8.927285,-122.11257298787434,-122.11257298787434,1.0
4410000,2.003151,1999.0,-8.731259,-168.9340968132019,-168.9340968132019,1.0
4420000,2.0153577,1237.5,-9.159585,-56.970306968688966,-56.970306968688966,1.0
4430000,1.9912012,1290.3333333333333,-8.300041,-127.45521478652954,-127.45521478652954,1.0
4440000,1.9466063,889.0,-9.101468,-116.66238254970975,-116.66238254970975,1.0
4450000,1.9456631,1194.3333333333333,-9.225539,-128.68007798628375,-128.68007798628375,1.0
4460000,1.9734398,834.0,-8.014948,-20.347804576158524,-20.347804576158524,1.0
4470000,1.9447929,None,-8.651097,-163.28187815348306,-163.28187815348306,1.0
4480000,1.9468315,1035.0,-8.54797,-86.27993746008724,-86.27993746008724,1.0
4490000,1.9252592,782.0,-8.8872595,-55.334617137908936,-55.334617137908936,1.0
4500000,1.9378507,1596.0,-8.2402525,-142.09603768587112,-142.09603768587112,1.0
