Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
590000,-0.45425206,1.4374262,1618.0,None,None,None,-6.410900408029557,-6.410900408029557,1.0
600000,-0.4381423,1.437378,1999.0,0.045537163,0.019748831,0.00027046967,-6.711800462007522,-6.711800462007522,1.0
610000,-1.1556908,1.4370818,479.0,0.025177311,0.023818497,0.00026993925,-2.0656667947769165,-2.0656667947769165,1.0
620000,-0.5717987,1.4396142,1223.0,0.33068278,0.08719238,0.00026941363,-5.382866998513539,-5.382866998513539,1.0
630000,-1.3549011,1.4417578,1999.0,0.012225029,0.02260547,0.0002688797,-9.162667115529379,-9.162667115529379,1.0
640000,-0.35447755,1.4446044,1109.0,0.21803568,0.12448454,0.0002683493,-4.5475003470977144,-4.5475003470977144,1.0
650000,-0.8679186,1.4473633,1170.75,0.01446163,0.020294843,0.00026780745,-4.427700245380402,-4.427700245380402,1.0
660000,-0.36663115,1.4548732,1044.0,0.06160284,0.17307243,0.00026724362,-5.414750263094902,-5.414750263094902,1.0
670000,-0.8718566,1.4593767,1999.0,0.0921849,0.09220293,0.00026670695,-9.329333821932474,-9.329333821932474,1.0
680000,-0.37610063,1.4639753,None,0.018849285,0.01602873,0.00026616929,None,None,1.0
690000,-0.37893096,1.4646398,1611.0,0.0072978307,0.025208607,0.00026556753,-7.133143288748605,-7.133143288748605,1.0
700000,-0.38689545,1.4626653,249.0,None,None,None,-2.9337502121925354,-2.9337502121925354,1.0
710000,-0.41744462,1.4635448,None,0.00923638,0.027299523,0.00026499963,None,None,1.0
720000,-0.4020853,1.4645668,1999.0,0.0088138925,0.023305949,0.00026446203,-9.441444999641842,-9.441444999641842,1.0
730000,-0.41648063,1.4638305,1350.0,0.011848494,0.02543632,0.00026387643,-7.062750404079755,-7.062750404079755,1.0
740000,-0.40931442,1.4643279,1999.0,0.008432453,0.023712695,0.0002633453,-9.496000488599142,-9.496000488599142,1.0
750000,-0.42612705,1.4656818,559.0,0.008724905,0.023670252,0.00026282205,-1.4626667499542236,-1.4626667499542236,1.0
760000,-0.4048049,1.4671752,1524.3333333333333,0.0059456453,0.024237966,0.00026227726,-6.661429047584534,-6.661429047584534,1.0
770000,-0.4378332,1.4680799,1999.0,0.01823455,0.024660576,0.00026175161,-9.371375545859337,-9.371375545859337,1.0
780000,-0.4261355,1.4683315,335.0,0.005438349,0.023814416,0.00026122123,None,None,1.0
790000,-0.4312463,1.4675138,1999.0,0.033294443,0.03416858,0.00026064768,-7.500833789507548,-7.500833789507548,1.0
800000,-0.43629497,1.4673176,1304.3333333333333,0.006713071,0.025602711,0.00026009144,-8.88800056775411,-8.88800056775411,1.0
810000,-0.42067078,1.4691664,341.0,0.022712877,0.02160893,0.00025951126,-2.8850835263729095,-2.8850835263729095,1.0
820000,-0.43701044,1.4703537,1999.0,None,None,None,-9.496000468730927,-9.496000468730927,1.0
830000,-0.43236202,1.4710076,1426.6666666666667,0.012188478,0.025606012,0.00025898084,-6.1363338232040405,-6.1363338232040405,1.0
