Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1640000,1.1830802,-11.1150875,999.0,-99.6399938583374,-99.6399938583374,1.0
1650000,1.1801219,-10.909113,854.7272727272727,-103.68181271986528,-103.68181271986528,1.0
1660000,1.1780655,-10.854658,782.4615384615385,-101.136917921213,-101.136917921213,1.0
1670000,1.1773152,-10.72435,782.2307692307693,-109.05230357096745,-109.05230357096745,1.0
1680000,1.1771953,-10.611995,914.8181818181819,-109.73635788397355,-109.73635788397355,1.0
1690000,1.1764424,-10.082362,859.7272727272727,-104.04908542199568,-104.04908542199568,1.0
1700000,1.1763557,-10.087008,924.8181818181819,-101.6545396718112,-101.6545396718112,1.0
1710000,1.1765733,-11.3335705,631.4117647058823,-121.94587685080135,-121.94587685080135,1.0
1720000,1.1770569,-10.826364,760.4615384615385,-106.77845657788791,-106.77845657788791,1.0
1730000,1.1778133,-11.852498,726.0,-126.42768590266888,-126.42768590266888,1.0
1740000,1.1766409,-11.896887,823.8333333333334,-115.71332816282909,-115.71332816282909,1.0
1750000,1.1750048,-11.982786,916.4545454545455,-109.9127214605158,-109.9127214605158,1.0
1760000,1.1744504,-10.935948,819.6666666666666,-106.97166097164154,-106.97166097164154,1.0
1770000,1.1730207,-10.95206,852.4166666666666,-118.62999435265858,-118.62999435265858,1.0
1780000,1.1721375,-11.9518175,833.9166666666666,-116.7899940609932,-116.7899940609932,1.0
1790000,1.1720529,-10.914151,805.1538461538462,-111.26922466204716,-111.26922466204716,1.0
1800000,1.1713876,-10.330831,921.2,-112.14799370765687,-112.14799370765687,1.0
1810000,1.1704788,-10.969912,830.1538461538462,-121.37845670259915,-121.37845670259915,1.0
1820000,1.1697491,-11.162278,753.4615384615385,-113.78922629356384,-113.78922629356384,1.0
1830000,1.1683241,-10.336308,991.8,-109.11199431419372,-109.11199431419372,1.0
1840000,1.1690072,-11.06998,836.3333333333334,-116.93166102965672,-116.93166102965672,1.0
1850000,1.1693428,-10.364546,850.5833333333334,-101.71999478340149,-101.71999478340149,1.0
1860000,1.1692301,-11.054685,759.3076923076923,-122.14153282458966,-122.14153282458966,1.0
1870000,1.1660525,-10.595611,882.3636363636364,-106.42726722630587,-106.42726722630587,1.0
1880000,1.1642746,-11.697471,738.8571428571429,-116.63428017071315,-116.63428017071315,1.0
