Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000000,0.28722116,1.1059405,None,None,None,1.0
5010000,0.28761086,1.1059387,1999.0,5.8393935456665025,5.8393935456665025,1.0
5020000,0.29010034,1.105261,None,None,None,1.0
5030000,0.28477326,1.104293,None,None,None,1.0
5040000,0.2516655,1.1054589,1999.0,5.06086038487653,5.06086038487653,1.0
5050000,0.28575602,1.1053542,None,None,None,1.0
5060000,0.28480074,1.1039902,None,None,None,1.0
5070000,0.2580494,1.1045884,None,None,None,1.0
5080000,0.24575406,1.1036346,1999.0,4.615927046527052,4.615927046527052,1.0
5090000,0.2631996,1.1024518,None,None,None,1.0
5100000,0.2451521,1.1024642,None,None,None,1.0
5110000,0.21856351,1.1011565,None,None,None,1.0
5120000,0.25054896,1.0985819,1999.0,5.283504811943406,5.283504811943406,1.0
5130000,0.23582706,1.0968137,None,None,None,1.0
5140000,0.2251981,1.094591,None,None,None,1.0
5150000,0.21828984,1.0927356,1999.0,4.727060427992708,4.727060427992708,1.0
5160000,0.2383775,1.0914781,None,None,None,1.0
5170000,0.24062225,1.0904441,None,None,None,1.0
5180000,0.20513485,1.0903536,None,None,None,1.0
5190000,0.23841901,1.0908277,1999.0,4.727160447561699,4.727160447561699,1.0
5200000,0.23470242,1.0911698,None,None,None,1.0
5210000,0.23668976,1.0910219,None,None,None,1.0
5220000,0.20673195,1.0905112,1999.0,4.949621464513863,4.949621464513863,1.0
5230000,0.22953957,1.090107,None,None,None,1.0
5240000,0.22187318,1.088694,None,None,None,1.0
5250000,0.22139344,1.0874197,None,None,None,1.0
5260000,0.23429978,1.0873381,1999.0,5.338627037566362,5.338627037566362,1.0
5270000,0.23915927,1.0849007,None,None,None,1.0
5280000,0.24836922,1.0818384,None,None,None,1.0
5290000,0.21774334,1.0804044,None,None,None,1.0
5300000,0.2479787,1.0801705,1999.0,4.504288199150728,4.504288199150728,1.0
5310000,0.26498485,1.0795752,None,None,None,1.0
5320000,0.26222587,1.077839,None,None,None,1.0
5330000,0.23819698,1.0756598,1999.0,5.561488063359219,5.561488063359219,1.0
5340000,0.2681542,1.0734153,None,None,None,1.0
5350000,0.24683915,1.0702826,None,None,None,1.0
5360000,0.2202681,1.068096,None,None,None,1.0
5370000,0.23780508,1.0678881,1999.0,4.0598105063868895,4.0598105063868895,1.0
5380000,0.23796402,1.0669484,None,None,None,1.0
5390000,0.22324318,1.0660664,None,None,None,1.0
5400000,0.21379283,1.0663636,1999.0,4.449116059242645,4.449116059242645,1.0
5410000,0.2630018,1.0669342,None,None,None,1.0
5420000,0.24614476,1.0662354,None,None,None,1.0
5430000,0.22707768,1.0650429,None,None,None,1.0
5440000,0.23452456,1.0650603,1999.0,4.8384159886950835,4.8384159886950835,1.0
5450000,0.24657276,1.0643876,None,None,None,1.0
5460000,0.22606933,1.0637559,None,None,None,1.0
5470000,0.20917688,1.0632817,None,None,None,1.0
5480000,0.24757592,1.0637558,1999.0555555555557,4.282204862347701,4.282204862347701,1.0
5490000,0.23761147,1.0635384,None,None,None,1.0
5500000,0.23198104,1.0619729,None,None,None,1.0
5510000,0.22458865,1.0607806,1999.0,5.2275047379856305,5.2275047379856305,1.0
5520000,0.23892677,1.0582399,None,None,None,1.0
5530000,0.2251229,1.0567011,None,None,None,1.0
5540000,0.20236816,1.0566835,None,None,None,1.0
5550000,0.22449605,1.0557785,1999.0,4.949332647724077,4.949332647724077,1.0
5560000,0.24892716,1.0534768,None,None,None,1.0
5570000,0.23827326,1.0521696,None,None,None,1.0
5580000,0.23021579,1.0508835,1999.0,5.4496270646858544,5.4496270646858544,1.0
5590000,0.27232438,1.050868,None,None,None,1.0
5600000,0.23648033,1.0517759,None,None,None,1.0
5610000,0.22462292,1.0524492,None,None,None,1.0
5620000,0.24740583,1.0518456,1999.0,5.561943659455412,5.561943659455412,1.0
5630000,0.26762143,1.0511224,None,None,None,1.0
5640000,0.2611194,1.0501536,None,None,None,1.0
5650000,0.23735024,1.0492054,None,None,None,1.0
5660000,0.26819652,1.047923,1999.0,5.6172880854250655,5.6172880854250655,1.0
5670000,0.24963996,1.046854,None,None,None,1.0
5680000,0.22287017,1.0476104,None,None,None,1.0
5690000,0.23155639,1.0471872,1999.0,4.949832587192456,4.949832587192456,1.0
5700000,0.25315848,1.0465654,None,None,None,1.0
5710000,0.2435515,1.046807,None,None,None,1.0
5720000,0.2306118,1.045195,None,None,None,1.0
5730000,0.26294622,1.0426571,1999.0555555555557,4.94968831164038,4.94968831164038,1.0
5740000,0.26697358,1.0411035,None,None,None,1.0
5750000,0.24324381,1.0401696,None,None,None,1.0
5760000,0.21789011,1.0402832,1999.0,4.616182640841645,4.616182640841645,1.0
5770000,0.25225985,1.0400904,None,None,None,1.0
5780000,0.24813361,1.0389847,None,None,None,1.0
5790000,0.23183838,1.0386912,None,None,None,1.0
5800000,0.22595826,1.0399226,1999.0,5.339110299168776,5.339110299168776,1.0
5810000,0.23955879,1.0378779,None,None,None,1.0
5820000,0.23590839,1.0354041,None,None,None,1.0
5830000,0.22028421,1.0336176,None,None,None,1.0
5840000,0.2420071,1.0315057,1999.0,4.559954814793956,4.559954814793956,1.0
5850000,0.2250921,1.0288625,None,None,None,1.0
5860000,0.21503617,1.0264714,None,None,None,1.0
5870000,0.22019227,1.0250809,1999.0,5.339065830999364,5.339065830999364,1.0
5880000,0.27060297,1.0245576,None,None,None,1.0
5890000,0.25039512,1.0240158,None,None,None,1.0
5900000,0.23285381,1.0234811,None,None,None,1.0
5910000,0.27092782,1.0227144,1999.0,5.505832496771796,5.505832496771796,1.0
5920000,0.24980037,1.0215635,None,None,None,1.0
5930000,0.24242115,1.0208087,None,None,None,1.0
5940000,0.22611167,1.0208441,1999.0,4.838521442324337,4.838521442324337,1.0
5950000,0.23982069,1.0198667,None,None,None,1.0
5960000,0.24361649,1.0167794,None,None,None,1.0
5970000,0.22423162,1.0158964,None,None,None,1.0
5980000,0.22965202,1.0175999,1999.0,4.727560464085804,4.727560464085804,1.0
5990000,0.26174805,1.0170424,None,None,None,1.0
6000000,0.26668748,1.0149744,None,None,None,1.0
6010000,0.23666047,1.014153,None,None,None,1.0
6020000,0.2680311,1.0121135,1999.0,5.67281036115148,5.67281036115148,1.0
6030000,0.24914667,1.0103745,None,None,None,1.0
6040000,0.23291592,1.0091726,None,None,None,1.0
6050000,0.22948954,1.0070999,1999.0,5.338332473869539,5.338332473869539,1.0
6060000,0.23213015,1.0053828,None,None,None,1.0
6070000,0.21937157,1.0044227,None,None,None,1.0
6080000,0.2034347,1.0042583,None,None,None,1.0
6090000,0.23066178,1.0040698,1999.0,5.33886589973958,5.33886589973958,1.0
6100000,0.24560322,1.0038996,None,None,None,1.0
6110000,0.23248215,1.0034788,None,None,None,1.0
6120000,0.2166377,1.0032738,1999.0,5.06073259223356,5.06073259223356,1.0
6130000,0.25338492,1.0032129,None,None,None,1.0
6140000,0.2338837,1.001659,None,None,None,1.0
6150000,0.20793475,1.0005734,None,None,None,1.0
6160000,0.25198638,0.9998406,1999.0,5.005760412921922,5.005760412921922,1.0
6170000,0.25694323,0.99871314,None,None,None,1.0
6180000,0.25915375,0.99640733,None,None,None,1.0
6190000,0.22385429,0.9944369,None,None,None,1.0
6200000,0.23203522,0.9954079,1999.0,5.005471507708232,5.005471507708232,1.0
6210000,0.23775598,0.9956302,None,None,None,1.0
6220000,0.22530444,0.9951867,None,None,None,1.0
6230000,0.2447629,0.9949527,1999.0,5.2832103262448475,5.2832103262448475,1.0
6240000,0.23367901,0.9934784,None,None,None,1.0
6250000,0.20976081,0.9911551,None,None,None,1.0
6260000,0.20499198,0.9895192,None,None,None,1.0
6270000,0.23928048,0.9892102,1999.0,4.1708326760369046,4.1708326760369046,1.0
6280000,0.24999268,0.987532,None,None,None,1.0
6290000,0.23913229,0.9855402,None,None,None,1.0
6300000,0.22385976,0.9846693,1999.0,6.061526893327634,6.061526893327634,1.0
6310000,0.25427052,0.98487484,None,None,None,1.0
6320000,0.24124268,0.9852704,None,None,None,1.0
6330000,0.21970016,0.9854787,None,None,None,1.0
6340000,0.2544112,0.98540837,1999.0,5.005265862836192,5.005265862836192,1.0
6350000,0.26450768,0.98530215,None,None,None,1.0
6360000,0.2660034,0.9855718,None,None,None,1.0
6370000,0.24520111,0.9853274,None,None,None,1.0
6380000,0.3037504,0.9845063,1999.0,5.672832534674348,5.672832534674348,1.0
6390000,0.27566916,0.9845273,None,None,None,1.0
6400000,0.25107774,0.9838778,None,None,None,1.0
6410000,0.25065136,0.98316085,1999.0,5.172038139464955,5.172038139464955,1.0
6420000,0.24850474,0.9835393,None,None,None,1.0
6430000,0.2402338,0.98283154,None,None,None,1.0
6440000,0.22506303,0.9832106,None,None,None,1.0
6450000,0.23138548,0.98128027,1999.0,4.393427077887787,4.393427077887787,1.0
6460000,0.2311679,0.978696,None,None,None,1.0
6470000,0.2272197,0.9778337,None,None,None,1.0
6480000,0.22295235,0.9782139,1999.0,4.504916004784819,4.504916004784819,1.0
6490000,0.23984547,0.9779352,None,None,None,1.0
6500000,0.22919166,0.9780949,None,None,None,1.0
6510000,0.22137462,0.9760086,None,None,None,1.0
6520000,0.23116742,0.9749631,1999.0,4.337893765781903,4.337893765781903,1.0
6530000,0.24032395,0.97479796,None,None,None,1.0
6540000,0.23772155,0.9738,None,None,None,1.0
6550000,0.20975429,0.9725183,None,None,None,1.0
6560000,0.28083205,0.9709884,1999.0,5.950788095050181,5.950788095050181,1.0
6570000,0.26654598,0.970485,None,None,None,1.0
6580000,0.24490958,0.9705884,None,None,None,1.0
6590000,0.25603518,0.9694944,1999.0,5.672165874547015,5.672165874547015,1.0
6600000,0.27046934,0.96857995,None,None,None,1.0
6610000,0.2590766,0.96740586,None,None,None,1.0
6620000,0.23739979,0.965063,None,None,None,1.0
6630000,0.24913785,0.9637767,1999.0,5.005365919787437,5.005365919787437,1.0
6640000,0.22899432,0.96257365,None,None,None,1.0
6650000,0.21919078,0.9616096,None,None,None,1.0
6660000,0.20858146,0.96052283,1999.0,4.726788113540453,4.726788113540453,1.0
6670000,0.24516384,0.9610765,None,None,None,1.0
6680000,0.23692451,0.961019,None,None,None,1.0
6690000,0.21930215,0.9597299,None,None,None,1.0
6700000,0.22576989,0.9585833,1999.0,5.060821468683167,5.060821468683167,1.0
6710000,0.23755573,0.959225,None,None,None,1.0
6720000,0.23263882,0.95916903,None,None,None,1.0
6730000,0.21169084,0.95888394,None,None,None,1.0
6740000,0.23949504,0.95817715,1999.0,5.394288184069511,5.394288184069511,1.0
6750000,0.24446711,0.95697004,None,None,None,1.0
6760000,0.22690666,0.95616937,None,None,None,1.0
6770000,0.227597,0.9545633,1999.0,5.060788125705181,5.060788125705181,1.0
6780000,0.25666735,0.9535134,None,None,None,1.0
6790000,0.2408892,0.9522123,None,None,None,1.0
6800000,0.22361626,0.94962007,None,None,None,1.0
6810000,0.23976131,0.9475721,1999.0,4.94925483287726,4.94925483287726,1.0
6820000,0.22999705,0.9456487,None,None,None,1.0
6830000,0.23207162,0.9435634,None,None,None,1.0
6840000,0.22618952,0.9412308,1999.0,5.3385214794220195,5.3385214794220195,1.0
6850000,0.28547174,0.9390617,None,None,None,1.0
6860000,0.2683035,0.93840945,None,None,None,1.0
6870000,0.2486536,0.93946004,None,None,None,1.0
6880000,0.2580002,0.941552,1999.0,4.838443740710823,4.838443740710823,1.0
6890000,0.26171896,0.943231,None,None,None,1.0
6900000,0.23840782,0.94264096,None,None,None,1.0
6910000,0.22779764,0.9411722,None,None,None,1.0
6920000,0.25430775,0.9403445,1999.0,5.005293699654026,5.005293699654026,1.0
6930000,0.25808525,0.9380074,None,None,None,1.0
6940000,0.25112113,0.93638736,None,None,None,1.0
6950000,0.23822528,0.9343166,1999.0,5.339149208170259,5.339149208170259,1.0
6960000,0.27904287,0.9334571,None,None,None,1.0
6970000,0.24257073,0.93182063,None,None,None,1.0
6980000,0.22627933,0.93152213,None,None,None,1.0
6990000,0.2570716,0.9314187,1999.0,5.283338092008813,5.283338092008813,1.0
7000000,0.25129807,0.93160474,None,None,None,1.0
7010000,0.24268049,0.9324801,None,None,None,1.0
7020000,0.24473698,0.9333139,1999.0,5.172371433064756,5.172371433064756,1.0
7030000,0.28381756,0.9339451,None,None,None,1.0
7040000,0.24638616,0.933485,None,None,None,1.0
7050000,0.22450031,0.9324518,None,None,None,1.0
7060000,0.2517627,0.9317637,1999.0,5.6171102965147135,5.6171102965147135,1.0
7070000,0.25593263,0.9302791,None,None,None,1.0
7080000,0.2631102,0.92789817,None,None,None,1.0
7090000,0.23930675,0.9258385,None,None,None,1.0
7100000,0.27534252,0.92350763,1999.0,5.228360393395026,5.228360393395026,1.0
7110000,0.2694549,0.9223769,None,None,None,1.0
7120000,0.2586511,0.9235945,None,None,None,1.0
7130000,0.2767844,0.9225746,1999.0,5.005704792552731,5.005704792552731,1.0
7140000,0.29289022,0.9207902,None,None,None,1.0
7150000,0.2834791,0.91915876,None,None,None,1.0
7160000,0.2556067,0.9190312,None,None,None,1.0
7170000,0.27535415,0.91704947,1999.0,5.394504840330531,5.394504840330531,1.0
7180000,0.26580498,0.9165039,None,None,None,1.0
7190000,0.25209144,0.9156944,None,None,None,1.0
7200000,0.23617427,0.91298807,1999.0,5.728349243730514,5.728349243730514,1.0
7210000,0.26034516,0.9107399,None,None,None,1.0
7220000,0.23413128,0.90938497,None,None,None,1.0
7230000,0.22225015,0.90794647,None,None,None,1.0
7240000,0.25193423,0.90715724,1999.0,5.338415874608068,5.338415874608068,1.0
7250000,0.27657485,0.90606195,None,None,None,1.0
7260000,0.25371042,0.9044552,None,None,None,1.0
7270000,0.23808281,0.903032,None,None,None,1.0
7280000,0.27498513,0.9017327,1999.0,5.505393699277192,5.505393699277192,1.0
7290000,0.2655977,0.90027267,None,None,None,1.0
7300000,0.2409855,0.89928925,None,None,None,1.0
7310000,0.2595153,0.89876693,1999.0,5.227804760500375,5.227804760500375,1.0
7320000,0.27424064,0.8976854,None,None,None,1.0
7330000,0.27205977,0.89606434,None,None,None,1.0
7340000,0.23639362,0.8949481,None,None,None,1.0
7350000,0.2753651,0.89422625,1999.0,5.50527149418162,5.50527149418162,1.0
7360000,0.25941288,0.8945284,None,None,None,1.0
7370000,0.24860246,0.89393497,None,None,None,1.0
7380000,0.2467369,0.89328575,1999.0,5.00491041612501,5.00491041612501,1.0
7390000,0.27478907,0.8928889,None,None,None,1.0
7400000,0.27092063,0.89392674,None,None,None,1.0
7410000,0.2445658,0.89216036,None,None,None,1.0
7420000,0.2765557,0.8907127,1999.0,5.450104791489947,5.450104791489947,1.0
7430000,0.2630514,0.8901359,None,None,None,1.0
7440000,0.234649,0.888631,None,None,None,1.0
7450000,0.20378445,0.8875563,None,None,None,1.0
7460000,0.26098013,0.8884308,1999.0,5.061221506291379,5.061221506291379,1.0
7470000,0.24145654,0.88979954,None,None,None,1.0
7480000,0.23860992,0.88969284,None,None,None,1.0
7490000,0.24752356,0.88902164,1999.0,5.116304730272128,5.116304730272128,1.0
7500000,0.26780158,0.8892454,None,None,None,1.0
7510000,0.23704353,0.88968235,None,None,None,1.0
7520000,0.22406045,0.8886151,None,None,None,1.0
7530000,0.2655618,0.8869566,1999.0,5.060738177633741,5.060738177633741,1.0
7540000,0.25262478,0.8858102,None,None,None,1.0
7550000,0.23385018,0.88460445,None,None,None,1.0
7560000,0.22739519,0.8836493,1999.0,4.171282687586629,4.171282687586629,1.0
7570000,0.25313738,0.8826361,None,None,None,1.0
7580000,0.23755543,0.88164145,None,None,None,1.0
7590000,0.21682961,0.87996966,None,None,None,1.0
7600000,0.24520554,0.8783549,1999.0,5.004515936546442,5.004515936546442,1.0
7610000,0.22910157,0.87664783,None,None,None,1.0
7620000,0.2292289,0.8763392,None,None,None,1.0
7630000,0.19977935,0.87570345,None,None,None,1.0
7640000,0.2569099,0.875468,1999.0,5.505282536614686,5.505282536614686,1.0
7650000,0.24893738,0.87428916,None,None,None,1.0
7660000,0.22659115,0.87214625,None,None,None,1.0
7670000,0.22402766,0.8718487,1999.0,5.005165930682172,5.005165930682172,1.0
7680000,0.24330334,0.87218183,None,None,None,1.0
7690000,0.22140583,0.86987555,None,None,None,1.0
7700000,0.21707444,0.8675297,None,None,None,1.0
7710000,0.2606272,0.86548793,1999.0,4.894149344155772,4.894149344155772,1.0
7720000,0.246541,0.8630417,None,None,None,1.0
7730000,0.23956946,0.8619076,None,None,None,1.0
7740000,0.21655971,0.8615784,1999.0,5.227449245750904,5.227449245750904,1.0
7750000,0.2555093,0.86061245,None,None,None,1.0
7760000,0.25276533,0.85914034,None,None,None,1.0
7770000,0.22930448,0.85806286,None,None,None,1.0
7780000,0.25591224,0.8574456,1999.0,4.615560473123979,4.615560473123979,1.0
7790000,0.24721292,0.85651094,None,None,None,1.0
7800000,0.22486259,0.85473436,None,None,None,1.0
7810000,0.21294978,0.85298026,None,None,None,1.0
7820000,0.2674788,0.8528491,1999.0,5.227304764350669,5.227304764350669,1.0
7830000,0.25023448,0.8522363,None,None,None,1.0
7840000,0.22304623,0.85141164,None,None,None,1.0
7850000,0.23666035,0.8501108,1999.0,5.782865800429136,5.782865800429136,1.0
7860000,0.2533762,0.84855294,None,None,None,1.0
7870000,0.24837443,0.84833795,None,None,None,1.0
7880000,0.23374347,0.8488077,None,None,None,1.0
7890000,0.2672459,0.84847534,1999.0,4.727277078510572,4.727277078510572,1.0
7900000,0.26259148,0.84790784,None,None,None,1.0
7910000,0.2547562,0.8463453,None,None,None,1.0
7920000,0.24346861,0.8461619,1999.0,4.838682684064326,4.838682684064326,1.0
7930000,0.2714487,0.8462133,None,None,None,1.0
7940000,0.25639883,0.8466945,None,None,None,1.0
7950000,0.24249598,0.8456722,None,None,None,1.0
7960000,0.26258045,0.8436852,1999.0,5.505310425690065,5.505310425690065,1.0
7970000,0.2511525,0.8422002,None,None,None,1.0
7980000,0.25815597,0.84129924,None,None,None,1.0
7990000,0.22684884,0.8416141,None,None,None,1.0
8000000,0.2753328,0.8424948,1999.0,4.838299336791453,4.838299336791453,1.0
8010000,0.23809892,0.84252846,None,None,None,1.0
8020000,0.24103634,0.84141463,None,None,None,1.0
8030000,0.26399988,0.84012866,1999.0,4.671643740031868,4.671643740031868,1.0
8040000,0.26827216,0.8402096,None,None,None,1.0
8050000,0.25868824,0.840709,None,None,None,1.0
8060000,0.2573596,0.8403975,None,None,None,1.0
8070000,0.2953972,0.83951175,1999.0,5.783893700016455,5.783893700016455,1.0
8080000,0.2848615,0.84069306,None,None,None,1.0
8090000,0.26796842,0.84184337,None,None,None,1.0
8100000,0.25782973,0.84174496,1999.0,5.338332553238918,5.338332553238918,1.0
8110000,0.28267655,0.841314,None,None,None,1.0
8120000,0.25969604,0.8401702,None,None,None,1.0
8130000,0.23578326,0.8388622,None,None,None,1.0
8140000,0.2578483,0.8392415,1999.0,4.894138199328962,4.894138199328962,1.0
8150000,0.24815227,0.83841926,None,None,None,1.0
8160000,0.2173769,0.83810794,None,None,None,1.0
8170000,0.209663,0.8375235,None,None,None,1.0
8180000,0.26905394,0.8368928,1999.0,5.338893632740817,5.338893632740817,1.0
8190000,0.24496552,0.8366719,None,None,None,1.0
8200000,0.22240673,0.83659583,None,None,None,1.0
8210000,0.24274063,0.8359341,1999.0,5.9507824588670495,5.9507824588670495,1.0
8220000,0.26854682,0.83427614,None,None,None,1.0
8230000,0.2530387,0.83298624,None,None,None,1.0
8240000,0.23587182,0.8327156,None,None,None,1.0
8250000,0.27089965,0.83145386,1999.0,5.06044932656611,5.06044932656611,1.0
8260000,0.26250455,0.83101153,None,None,None,1.0
8270000,0.2529908,0.8312249,None,None,None,1.0
8280000,0.23428994,0.83116007,1999.0,4.838071515499097,4.838071515499097,1.0
8290000,0.255284,0.8312105,None,None,None,1.0
8300000,0.24264815,0.8302984,None,None,None,1.0
8310000,0.22291927,0.8293801,None,None,None,1.0
8320000,0.23535356,0.82871825,1999.0,5.060860356885112,5.060860356885112,1.0
8330000,0.2527927,0.8273597,None,None,None,1.0
8340000,0.24239075,0.82584983,None,None,None,1.0
8350000,0.22572607,0.8252652,None,None,None,1.0
8360000,0.24710728,0.8251593,1999.0,5.060882663199057,5.060882663199057,1.0
8370000,0.23116861,0.82473487,None,None,None,1.0
8380000,0.21981278,0.8251233,None,None,None,1.0
8390000,0.22753018,0.82509583,1999.0,5.2277103753812195,5.2277103753812195,1.0
8400000,0.25844854,0.8251566,None,None,None,1.0
8410000,0.2535197,0.8251294,None,None,None,1.0
8420000,0.23505582,0.8255742,None,None,None,1.0
8430000,0.28492543,0.82613677,1999.0,5.115960358590302,5.115960358590302,1.0
8440000,0.27118033,0.82491714,None,None,None,1.0
8450000,0.2632089,0.82281876,None,None,None,1.0
8460000,0.250596,0.8217225,1999.0,4.94921043722166,4.94921043722166,1.0
8470000,0.2691639,0.82128286,None,None,None,1.0
8480000,0.25214317,0.8210609,None,None,None,1.0
8490000,0.23012784,0.8205945,None,None,None,1.0
8500000,0.24982408,0.82006186,1999.0,4.949699258587013,4.949699258587013,1.0
8510000,0.24475025,0.82133424,None,None,None,1.0
8520000,0.2472113,0.8216483,None,None,None,1.0
8530000,0.22796531,0.8211892,None,None,None,1.0
8540000,0.28034744,0.8213548,1999.0,5.617354709396346,5.617354709396346,1.0
8550000,0.289464,0.8201482,None,None,None,1.0
8560000,0.26356924,0.81926566,None,None,None,1.0
8570000,0.25948182,0.81849045,1999.0,5.561727094205303,5.561727094205303,1.0
8580000,0.2768163,0.81749547,None,None,None,1.0
8590000,0.26413786,0.8175273,None,None,None,1.0
8600000,0.23330219,0.818991,None,None,None,1.0
8610000,0.2572267,0.8192666,1999.0,4.89361596847367,4.89361596847367,1.0
