Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1530000,4.412412,1999.0,-0.22542086,-3.7508221722784496,-3.7508221722784496,1.0
1540000,4.3394833,1999.0,-0.23328443,-3.492751396364636,-3.492751396364636,1.0
1550000,4.341056,None,-0.046693314,-5.40883994102478,-5.40883994102478,1.0
1560000,4.3306503,None,-0.02373137,None,None,1.0
1570000,4.3339763,None,-0.19534315,None,None,1.0
1580000,4.3316636,1999.0,-0.19925308,-4.028680115938187,-4.028680115938187,1.0
1590000,4.3417935,None,-0.13150367,None,None,1.0
1600000,4.322571,None,-0.15993176,None,None,1.0
1610000,4.3182817,1999.0,-0.21903363,-3.422695320099592,-3.422695320099592,1.0
1620000,None,None,-0.17859443,None,None,1.0
1630000,4.3345394,1873.0,-0.1984162,None,None,1.0
1640000,4.3087397,1999.0,-0.1700426,-2.8539442002773283,-2.8539442002773283,1.0
1650000,4.3340707,1999.0,-0.25183353,-3.2391716284411296,-3.2391716284411296,1.0
1660000,4.371841,None,-0.22715959,-3.8438735206921897,-3.8438735206921897,1.0
1670000,4.300618,1999.0,-0.16314712,-3.8571576960384846,-3.8571576960384846,1.0
1680000,4.300151,None,-0.03539142,None,None,1.0
1690000,4.2752967,None,-0.03328846,None,None,1.0
1700000,4.29521,None,-0.12807691,None,None,1.0
1710000,4.3006167,1790.5,-0.17187499,-2.3385628424584866,-2.3385628424584866,1.0
1720000,4.276191,None,-0.13734597,None,None,1.0
1730000,4.296098,1999.0,-0.14783987,-4.621199727058411,-4.621199727058411,1.0
1740000,4.290315,None,-0.13568565,-2.4605936110019684,-2.4605936110019684,1.0
1750000,4.292588,None,-0.18948877,None,None,1.0
1760000,4.287143,1999.0,-0.20965144,-3.55916541069746,-3.55916541069746,1.0
1770000,4.3081403,1999.0,-0.16583015,-3.063935101032257,-3.063935101032257,1.0
1780000,4.3749723,1999.0,-0.22705154,-4.028499237515709,-4.028499237515709,1.0
1790000,4.327748,1999.0,-0.19537531,-2.902808977024896,-2.902808977024896,1.0
1800000,4.3033977,1485.5,-0.17274855,-2.3361336340506873,-2.3361336340506873,1.0
1810000,4.2730875,None,-0.091811396,None,None,1.0
1820000,4.278223,None,-0.105252475,None,None,1.0
1830000,4.3039637,1999.0,-0.08957639,-3.038130283355713,-3.038130283355713,1.0
1840000,4.274713,1999.0,-0.18828264,-3.7752834210793176,-3.7752834210793176,1.0
1850000,4.300155,None,-0.14804195,None,None,1.0
1860000,4.300328,1265.0,-0.16196348,-0.663700245320797,-0.663700245320797,1.0
1870000,4.276658,None,-0.14633413,None,None,1.0
