Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
580000,4.435879,1999.0,-0.118067026,-1.5088444724678993,-1.5088444724678993,1.0
590000,4.446647,None,-0.12149793,None,None,1.0
600000,4.4337664,None,-0.12573731,None,None,1.0
610000,4.431723,1999.0,-0.17238416,0.47821945945421857,0.47821945945421857,1.0
620000,4.424869,1999.0,-0.20264994,-4.611212525102827,-4.611212525102827,1.0
630000,4.4427924,1999.0,-0.20999905,-6.4709498797144205,-6.4709498797144205,1.0
640000,4.450933,1999.0,-0.20501845,-4.957154763015834,-4.957154763015834,1.0
650000,4.443804,None,-0.19695072,None,None,1.0
660000,4.435385,None,-0.19779581,None,None,1.0
670000,4.4583306,1507.6666666666667,-0.17057292,-3.2298292790850005,-3.2298292790850005,1.0
680000,4.4446282,1999.0,-0.21164861,-7.342135925378118,-7.342135925378118,1.0
690000,4.4477177,None,-0.2180665,None,None,1.0
700000,4.4497514,1999.0,-0.19928399,-4.585199229419231,-4.585199229419231,1.0
710000,4.440178,1999.0,-0.15694483,-1.9150420352816582,-1.9150420352816582,1.0
720000,4.435249,None,-0.10856994,None,None,1.0
730000,4.4366436,None,-0.12918046,None,None,1.0
740000,4.4409523,1989.0,-0.14434926,-10.763068959116936,-10.763068959116936,1.0
750000,4.430927,1999.0,-0.120676346,-1.245440440873305,-1.245440440873305,1.0
760000,4.443109,None,-0.18392861,-3.044789580628276,-3.044789580628276,1.0
770000,4.4426885,1999.0,-0.09626037,-4.258273975923657,-4.258273975923657,1.0
780000,4.440365,None,-0.082099035,None,None,1.0
790000,4.4386334,1999.0,-0.04857246,None,None,1.0
800000,4.4392266,1999.0,-0.15481864,-2.212713805337747,-2.212713805337747,1.0
810000,4.447907,1999.0,-0.14478837,-4.741143889725208,-4.741143889725208,1.0
820000,4.453739,1999.0,-0.10029941,None,None,1.0
830000,4.4497375,None,-0.088896975,-5.158822387456894,-5.158822387456894,1.0
840000,4.454068,1999.0,-0.10677205,-6.318070217967033,-6.318070217967033,1.0
850000,4.4519024,None,-0.16604714,None,None,1.0
860000,4.4454937,None,-0.11252155,None,None,1.0
870000,4.449297,1999.0,-0.17148785,-2.3766401559114456,-2.3766401559114456,1.0
880000,4.446041,1986.142857142857,-0.15117992,-1.478890259476269,-1.478890259476269,1.0
890000,4.4379706,1999.0,-0.15612867,-2.933427251302279,-2.933427251302279,1.0
900000,4.4416084,1999.0,-0.19029352,0.4470875561237335,0.4470875561237335,1.0
910000,4.454414,None,-0.016849447,None,None,1.0
920000,4.459617,1999.0,0.027277524,-0.23943334072828293,-0.23943334072828293,1.0
930000,4.439434,1999.0,-0.06124844,-2.938648045063019,-2.938648045063019,1.0
940000,4.4510403,1999.0,-0.071224555,-2.2990826293826103,-2.2990826293826103,1.0
950000,4.446563,1999.0,-0.083682425,-11.98623774945736,-11.98623774945736,1.0
960000,4.4533954,None,-0.0159257,0.8604465226332346,0.8604465226332346,1.0
970000,4.4582896,1999.0,-0.089509256,-4.225455343723297,-4.225455343723297,1.0
980000,4.4401536,None,-0.09459896,None,None,1.0
990000,4.446089,1780.5,-0.086449645,-3.327922341413796,-3.327922341413796,1.0
1000000,4.4603786,1306.0,-0.121983595,0.3574357321485877,0.3574357321485877,1.0
1010000,4.459839,1999.0,-0.10423196,-0.34313917106115505,-0.34313917106115505,1.0
1020000,4.454826,1999.0,-0.048075493,-4.30237178504467,-4.30237178504467,1.0
1030000,4.444578,None,-0.027288076,2.837128847837448,2.837128847837448,1.0
1040000,4.4610615,None,-0.006211441,None,None,1.0
1050000,4.465615,1999.0,-0.024577122,-5.691972494125366,-5.691972494125366,1.0
1060000,4.4660597,1999.0,-0.09321145,-4.255285762250423,-4.255285762250423,1.0
1070000,4.4646354,1999.0,-0.06662237,-5.652519792318344,-5.652519792318344,1.0
1080000,4.4711514,1999.0,-0.106160894,-4.1125409081578255,-4.1125409081578255,1.0
1090000,4.474,1999.0,-0.10039742,-2.680644951760769,-2.680644951760769,1.0
1100000,4.4625297,1409.0,-0.11083024,-4.3927028725544615,-4.3927028725544615,1.0
1110000,4.4606695,None,-0.1443633,-3.5705201625823975,-3.5705201625823975,1.0
1120000,4.4689293,1999.0,-0.0070734,0.20575324445962906,0.20575324445962906,1.0
1130000,4.4758997,1999.0,-0.094283484,-4.086060102496829,-4.086060102496829,1.0
1140000,4.4659643,1999.0,-0.08662119,-3.7169951911155996,-3.7169951911155996,1.0
1150000,4.4628005,1999.0,-0.08270903,-3.082645133137703,-3.082645133137703,1.0
1160000,4.473554,None,-0.04626383,None,None,1.0
1170000,4.471621,None,-0.055521082,None,None,1.0
1180000,4.463845,1999.0,-0.13340808,1.099079169332981,1.099079169332981,1.0
1190000,4.4586782,1999.0,-0.14290802,-1.5109115988016129,-1.5109115988016129,1.0
1200000,4.4632573,None,-0.1737123,None,None,1.0
1210000,4.4704347,1842.5,-0.14695983,-4.806913793087006,-4.806913793087006,1.0
1220000,4.481885,None,-0.026409173,None,None,1.0
1230000,4.4759088,1999.0,-0.14318363,-0.5763165112584829,-0.5763165112584829,1.0
1240000,4.4633303,None,-0.078907624,None,None,1.0
1250000,4.4574895,1999.0,-0.08356024,-2.795847015455365,-2.795847015455365,1.0
1260000,4.4657927,1999.0,-0.1658172,1.0347931018720071,1.0347931018720071,1.0
1270000,4.453968,1999.0,-0.007901753,-2.5398052368651736,-2.5398052368651736,1.0
1280000,4.442854,1999.0,-0.02934241,0.09832593202590942,0.09832593202590942,1.0
1290000,4.451127,1356.0,-0.05323232,-4.083962135016918,-4.083962135016918,1.0
1300000,4.4516835,1649.0,-0.029812932,None,None,1.0
1310000,4.448737,1999.0,-0.124977864,-4.148687498136,-4.148687498136,1.0
1320000,4.4259663,None,-0.023064995,5.361409783363342,5.361409783363342,1.0
1330000,4.438659,1999.0,-0.19324353,-4.766137324273586,-4.766137324273586,1.0
1340000,4.448509,None,-0.06312521,None,None,1.0
1350000,4.445281,1379.0,-0.13476276,-1.725812166929245,-1.725812166929245,1.0
1360000,4.431552,1999.0,-0.16559944,-5.556589225307107,-5.556589225307107,1.0
1370000,4.428575,1986.0,-0.18467161,-4.796896527210872,-4.796896527210872,1.0
1380000,4.439437,1999.0,-0.15446861,-2.4384779810905455,-2.4384779810905455,1.0
1390000,4.4272313,1999.0,-0.13008705,-9.49041998386383,-9.49041998386383,1.0
1400000,4.452815,1999.0,-0.21767668,-0.318291824311018,-0.318291824311018,1.0
1410000,4.450515,1999.0,-0.17677154,-5.043421879410744,-5.043421879410744,1.0
1420000,4.4449244,1999.0,-0.14350411,-0.8936478048563004,-0.8936478048563004,1.0
1430000,4.4631877,1884.0,-0.17380777,-1.3196777626872063,-1.3196777626872063,1.0
1440000,4.4425883,1999.0,-0.17635474,-5.014791566878557,-5.014791566878557,1.0
1450000,4.4402122,None,-0.13744065,None,None,1.0
1460000,4.4425564,1999.0,-0.17160287,-4.713730160146952,-4.713730160146952,1.0
1470000,4.423083,889.0,-0.13760306,-1.1798050701618195,-1.1798050701618195,1.0
1480000,4.4300776,1999.0,-0.2008188,-8.592879378795624,-8.592879378795624,1.0
1490000,4.410171,None,-0.15131621,-4.112560078501701,-4.112560078501701,1.0
1500000,4.378498,1999.0,-0.15207599,3.3701897263526917,3.3701897263526917,1.0
