Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1080000,1.4057325,1282.0,-0.47720644,-5.080667068560918,-5.080667068560918,1.0
1090000,1.4069397,None,-0.46142378,None,None,1.0
1100000,1.407367,1589.25,-0.5292256,-6.553800302743912,-6.553800302743912,1.0
1110000,1.4068185,1371.6,-0.44793904,-6.220235675573349,-6.220235675573349,1.0
1120000,1.406652,535.0,-0.6116098,-2.012333482503891,-2.012333482503891,1.0
1130000,1.4062599,1334.6666666666667,-0.48989797,-9.198200702667236,-9.198200702667236,1.0
1140000,1.4066421,1338.0,-0.5813407,-4.793461846044431,-4.793461846044431,1.0
1150000,1.4070812,730.8,-0.44794425,-2.5232667843500773,-2.5232667843500773,1.0
1160000,1.4064146,1616.0,-0.74964213,-6.414333740870158,-6.414333740870158,1.0
1170000,1.4052783,1999.0,-0.46097007,-9.996000528335571,-9.996000528335571,1.0
1180000,1.4019588,1999.0,-0.72518134,-9.248250603675842,-9.248250603675842,1.0
1190000,1.4004794,1854.6666666666667,-0.43560296,-7.9430005848407745,-7.9430005848407745,1.0
1200000,1.399868,413.0,-0.6587692,-1.7326666514078777,-1.7326666514078777,1.0
1210000,1.3982711,1872.3333333333333,-0.43793705,-7.87983379761378,-7.87983379761378,1.0
1220000,1.397342,1407.8,-0.55019206,-6.756555994351705,-6.756555994351705,1.0
1230000,1.3956472,1190.0,-0.41458082,-4.8412224716610375,-4.8412224716610375,1.0
1240000,1.3959465,1092.0,-0.38516018,-4.355800211429596,-4.355800211429596,1.0
1250000,1.3958267,None,-0.429735,-6.996000230312347,-6.996000230312347,1.0
1260000,1.3962913,1657.0,-0.4319695,-7.287500411272049,-7.287500411272049,1.0
1270000,1.396254,1275.5,-0.40097558,-4.6556002497673035,-4.6556002497673035,1.0
1280000,1.3963532,1202.0,-0.42749733,-5.724857428244182,-5.724857428244182,1.0
1290000,1.3962594,1305.5,-0.414239,-6.056059229023316,-6.056059229023316,1.0
1300000,1.3964735,1999.0,-0.42546982,-7.941857780729022,-7.941857780729022,1.0
1310000,1.3970536,1999.0,-0.37078094,-8.665667364994684,-8.665667364994684,1.0
1320000,1.3967992,532.6666666666666,-0.4024562,-1.5275713886533464,-1.5275713886533464,1.0
