Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
760000,1.4854586,464.5,-0.3604267,-3.9934447473949857,-3.9934447473949857,1.0
770000,1.4849895,1425.5,-0.37220606,-6.1572003841400145,-6.1572003841400145,1.0
780000,1.4846728,1999.0,-0.36852947,-8.997000589966774,-8.997000589966774,1.0
790000,1.484027,1014.0,-0.3529598,-4.239666978518168,-4.239666978518168,1.0
800000,1.4848077,1999.0,-0.39224675,-8.996500531832377,-8.996500531832377,1.0
810000,1.4858118,1518.25,-0.330385,-6.014556010564168,-6.014556010564168,1.0
820000,1.4876355,684.6666666666666,-0.31680584,-4.429636673493818,-4.429636673493818,1.0
830000,1.4898465,1408.0,-0.30012333,-4.070285980190549,-4.070285980190549,1.0
840000,1.489049,1344.0,-0.35521767,-7.148333821031782,-7.148333821031782,1.0
850000,1.4886644,1999.0,-0.33716774,-8.997000654538473,-8.997000654538473,1.0
860000,1.4895518,1552.3333333333333,-0.40279877,-5.647000387310982,-5.647000387310982,1.0
870000,1.4911554,1403.3333333333333,-0.19264437,-6.317000377178192,-6.317000377178192,1.0
880000,1.4932351,189.0,-5.2719493,-3.7660001635551454,-3.7660001635551454,1.0
890000,1.4944899,1724.0,-0.05970192,-7.406727606599981,-7.406727606599981,1.0
900000,1.495451,1336.6666666666667,-0.03441167,-6.417000465095043,-6.417000465095043,1.0
910000,1.4951298,1059.0,-0.23999648,-3.630333572626114,-3.630333572626114,1.0
920000,1.4946831,1391.0,-0.19527699,-5.402777999639511,-5.402777999639511,1.0
930000,1.4946882,1999.0,-0.22073981,-8.997000594933828,-8.997000594933828,1.0
940000,1.4943548,1217.5,-0.30577224,-6.5430004596710205,-6.5430004596710205,1.0
950000,1.4934497,1150.5,-0.35838443,-5.310666799545288,-5.310666799545288,1.0
960000,1.492789,1999.0,-0.29736224,-7.335444966952006,-7.335444966952006,1.0
970000,1.4910445,824.4,-0.33246657,-3.991764946895487,-3.991764946895487,1.0
980000,1.4902238,1774.75,-0.29834363,-7.651700502634048,-7.651700502634048,1.0
990000,1.4913205,704.6666666666666,-0.29061574,-3.88500030067834,-3.88500030067834,1.0
